"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","rhd:R2APBS1_0553","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0553",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry1","38","rhd:R2APBS1_0097 / rhd:R2APBS1_2422","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0097+rhd:R2APBS1_2422",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry9","46","rhd:R2APBS1_1423 / rhd:R2APBS1_3732","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_1423+rhd:R2APBS1_3732",NA,"rn:R00754",NA,439,941,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","rhd:R2APBS1_0530 / rhd:R2APBS1_0531 / rhd:R2APBS1_3483","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0530+rhd:R2APBS1_0531+rhd:R2APBS1_3483",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","rhd:R2APBS1_0530 / rhd:R2APBS1_0531 / rhd:R2APBS1_3483","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0530+rhd:R2APBS1_0531+rhd:R2APBS1_3483",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","rhd:R2APBS1_0529 / rhd:R2APBS1_3455","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0529+rhd:R2APBS1_3455",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","rhd:R2APBS1_0551","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0551",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","rhd:R2APBS1_2290","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_2290",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry19","56","rhd:R2APBS1_3753","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_3753",NA,"rn:R01518",NA,458,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","rhd:R2APBS1_0549","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0549",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","rhd:R2APBS1_2129","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_2129",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","rhd:R2APBS1_0376","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0376",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry23","60","rhd:R2APBS1_0026","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0026",NA,"rn:R04780",NA,408,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","rhd:R2APBS1_3909","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_3909",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry26","63","rhd:R2APBS1_0585 / rhd:R2APBS1_3851 / rhd:R2APBS1_3910","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0585+rhd:R2APBS1_3851+rhd:R2APBS1_3910",NA,"rn:R00959",NA,483,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","rhd:R2APBS1_3909","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_3909",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry29","66","rhd:R2APBS1_0166 / rhd:R2APBS1_3541","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0166+rhd:R2APBS1_3541",NA,"rn:R01600",NA,233,312,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","rhd:R2APBS1_3909","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_3909",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry32","69","rhd:R2APBS1_3679","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_3679",NA,"rn:R01602",NA,181,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry33","70","rhd:R2APBS1_0166 / rhd:R2APBS1_3541","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0166+rhd:R2APBS1_3541",NA,"rn:R01786",NA,233,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry38","75","rhd:R2APBS1_1493 / rhd:R2APBS1_3454","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_1493+rhd:R2APBS1_3454",NA,"rn:R07618",NA,262,913,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","rhd:R2APBS1_0559","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0559",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry72","112","rhd:R2APBS1_0612","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0612",NA,"rn:R00431 rn:R00726",NA,239,726,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry86","131","rhd:R2APBS1_0014","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0014",NA,"rn:R00235",NA,96,916,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry98","146","rhd:R2APBS1_0376","gene","http://www.kegg.jp/dbget-bin/www_bget?rhd:R2APBS1_0376",NA,"rn:R02073",NA,558,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
