"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","htr:EPV75_01810","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_01810",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry9","46","htr:EPV75_06280","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_06280",NA,"rn:R00754",NA,439,941,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","htr:EPV75_05660","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_05660",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","htr:EPV75_05660","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_05660",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","htr:EPV75_05665","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_05665",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","htr:EPV75_01805 / htr:EPV75_10215","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_01805+htr:EPV75_10215",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","htr:EPV75_06955","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_06955",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","htr:EPV75_01795 / htr:EPV75_10325","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_01795+htr:EPV75_10325",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","htr:EPV75_04630","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_04630",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","htr:EPV75_08490","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_08490",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry23","60","htr:EPV75_08015","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_08015",NA,"rn:R04780",NA,408,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","htr:EPV75_03690","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_03690",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry26","63","htr:EPV75_10510 / htr:EPV75_11205","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_10510+htr:EPV75_11205",NA,"rn:R00959",NA,483,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","htr:EPV75_03690","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_03690",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry29","66","htr:EPV75_03150","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_03150",NA,"rn:R01600",NA,233,312,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","htr:EPV75_03690","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_03690",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry31","68","htr:EPV75_11735","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_11735",NA,"rn:R02739",NA,307,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry33","70","htr:EPV75_03150","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_03150",NA,"rn:R01786",NA,233,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry38","75","htr:EPV75_05670 / htr:EPV75_07995","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_05670+htr:EPV75_07995",NA,"rn:R07618",NA,262,913,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","htr:EPV75_01800","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_01800",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry86","131","htr:EPV75_06140","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_06140",NA,"rn:R00235",NA,96,916,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry92","137","htr:EPV75_10780","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_10780",NA,"rn:R01518",NA,508,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry97","144","htr:EPV75_09185 / htr:EPV75_09190","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_09185+htr:EPV75_09190",NA,"rn:R01196",NA,284,810,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry98","146","htr:EPV75_08490","gene","http://www.kegg.jp/dbget-bin/www_bget?htr:EPV75_08490",NA,"rn:R02073",NA,558,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
