"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","cjv:MTVDSCj20_0617","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0617",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry14","51","cjv:MTVDSCj20_1172","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1172",NA,"rn:R00703",NA,558,869,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","cjv:MTVDSCj20_0362","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0362",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","cjv:MTVDSCj20_1637","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1637",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","cjv:MTVDSCj20_1379","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1379",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","cjv:MTVDSCj20_1377","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1377",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry23","60","cjv:MTVDSCj20_0845","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0845",NA,"rn:R04780",NA,408,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","cjv:MTVDSCj20_1495","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1495",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry26","63","cjv:MTVDSCj20_1383","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1383",NA,"rn:R00959",NA,483,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","cjv:MTVDSCj20_1495","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1495",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","cjv:MTVDSCj20_1495","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1495",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","cjv:MTVDSCj20_1378","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1378",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry75","116","cjv:MTVDSCj20_0928","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0928",NA,"rn:R00341",NA,239,747,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry81","124","cjv:MTVDSCj20_1441","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1441",NA,"rn:R01196",NA,284,789,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry86","131","cjv:MTVDSCj20_1497","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_1497",NA,"rn:R00235",NA,96,916,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry92","137","cjv:MTVDSCj20_0408","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0408",NA,"rn:R01518",NA,508,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry97","144","cjv:MTVDSCj20_0553 / cjv:MTVDSCj20_0554","gene","http://www.kegg.jp/dbget-bin/www_bget?cjv:MTVDSCj20_0553+cjv:MTVDSCj20_0554",NA,"rn:R01196",NA,284,810,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
