"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","mlo:mll7273 / mlo:mlr3754 / mlo:mlr7221","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mll7273+mlo:mlr3754+mlo:mlr7221",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry1","38","mlo:mll2219 / mlo:mll2319 / mlo:mll2867 / mlo:mll4783 / mlo:mll7045 / mlo:mlr6969","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mll2219+mlo:mll2319+mlo:mll2867+mlo:mll4783+mlo:mll7045+mlo:mlr6969",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry9","46","mlo:mlr0872 / mlo:mlr1136 / mlo:mlr1178","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr0872+mlo:mlr1136+mlo:mlr1178",NA,"rn:R00754",NA,439,941,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","mlo:mlr0383 / mlo:mlr0384 / mlo:mlr9539","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr0383+mlo:mlr0384+mlo:mlr9539",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","mlo:mlr0383 / mlo:mlr0384 / mlo:mlr9539","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr0383+mlo:mlr0384+mlo:mlr9539",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","mlo:mll3627 / mlo:mlr0385 / mlo:mlr2794","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mll3627+mlo:mlr0385+mlo:mlr2794",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","mlo:mll3819","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mll3819",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","mlo:mlr0378","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr0378",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry19","56","mlo:mlr4643","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr4643",NA,"rn:R01518",NA,458,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","mlo:mlr3750","gene","http://www.kegg.jp/dbget-bin/www_bget?mlo:mlr3750",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
