"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","sck:SCITRI_001904","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001904",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","sck:SCITRI_00409 / sck:SCITRI_00410","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00409+sck:SCITRI_00410",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","sck:SCITRI_00409 / sck:SCITRI_00410","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00409+sck:SCITRI_00410",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","sck:SCITRI_00106 / sck:SCITRI_00405 / sck:SCITRI_00411","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00106+sck:SCITRI_00405+sck:SCITRI_00411",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry14","51","sck:SCITRI_001285","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001285",NA,"rn:R00703",NA,558,869,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","sck:SCITRI_001127","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001127",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","sck:SCITRI_001536","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001536",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","sck:SCITRI_00250","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00250",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","sck:SCITRI_00236","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00236",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","sck:SCITRI_001128","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001128",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry24","61","sck:SCITRI_001785","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001785",NA,"rn:R02738",NA,552,196,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","sck:SCITRI_00316","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00316",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry26","63","sck:SCITRI_00404","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00404",NA,"rn:R00959",NA,483,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","sck:SCITRI_00316","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00316",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry29","66","sck:SCITRI_00126","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00126",NA,"rn:R01600",NA,233,312,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","sck:SCITRI_00316","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00316",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry33","70","sck:SCITRI_00126","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00126",NA,"rn:R01786",NA,233,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry38","75","sck:SCITRI_00412","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00412",NA,"rn:R07618",NA,262,913,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","sck:SCITRI_00231","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00231",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry42","79","sck:SCITRI_001785","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001785",NA,"rn:R05132",NA,181,360,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry43","80","sck:SCITRI_001785","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_001785",NA,"rn:R04394",NA,181,386,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry44","81","sck:SCITRI_00120","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00120",NA,"rn:R05133",NA,291,359,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry45","82","sck:SCITRI_00120","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00120",NA,"rn:R05134",NA,291,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry80","122","sck:SCITRI_00516","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00516",NA,"rn:R01058",NA,392,521,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry92","137","sck:SCITRI_00430","gene","http://www.kegg.jp/dbget-bin/www_bget?sck:SCITRI_00430",NA,"rn:R01518",NA,508,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
