"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","crd:CRES_0286","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0286",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry9","46","crd:CRES_1157","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1157",NA,"rn:R00754",NA,439,941,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","crd:CRES_0711","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0711",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","crd:CRES_0711","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0711",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry14","51","crd:CRES_0511","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0511",NA,"rn:R00703",NA,558,869,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","crd:CRES_0844","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0844",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","crd:CRES_1617","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1617",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry19","56","crd:CRES_1959","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1959",NA,"rn:R01518",NA,458,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","crd:CRES_0980 / crd:CRES_1082","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0980+crd:CRES_1082",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","crd:CRES_1080","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1080",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","crd:CRES_1382","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1382",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry23","60","crd:CRES_1589","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1589",NA,"rn:R04780",NA,408,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","crd:CRES_0367","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0367",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry26","63","crd:CRES_0394","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0394",NA,"rn:R00959",NA,483,178,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","crd:CRES_0367","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0367",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry29","66","crd:CRES_0770","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0770",NA,"rn:R01600",NA,233,312,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","crd:CRES_0367","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0367",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry32","69","crd:CRES_0191","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0191",NA,"rn:R01602",NA,181,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry33","70","crd:CRES_0770","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0770",NA,"rn:R01786",NA,233,239,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry38","75","crd:CRES_1982","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1982",NA,"rn:R07618",NA,262,913,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","crd:CRES_1081","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1081",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry40","77","crd:CRES_1177","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1177",NA,"rn:R02189",NA,281,218,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry41","78","crd:CRES_1177","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1177",NA,"rn:R02187",NA,281,291,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry72","112","crd:CRES_0553","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0553",NA,"rn:R00431 rn:R00726",NA,239,726,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry93","138","crd:CRES_0300","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_0300",NA,"rn:R00711",NA,307,969,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry98","146","crd:CRES_1382","gene","http://www.kegg.jp/dbget-bin/www_bget?crd:CRES_1382",NA,"rn:R02073",NA,558,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
