"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","men:MEPCIT_227","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_227",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","men:MEPCIT_194","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_194",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","men:MEPCIT_194","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_194",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","men:MEPCIT_195","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_195",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","men:MEPCIT_131","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_131",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","men:MEPCIT_202","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_202",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry19","56","men:MEPCIT_097","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_097",NA,"rn:R01518",NA,458,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","men:MEPCIT_049","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_049",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","men:MEPCIT_279","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_279",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","men:MEPCIT_280","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_280",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry25","62","men:MEPCIT_116","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_116",NA,"rn:R02740",NA,483,265,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry27","64","men:MEPCIT_116","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_116",NA,"rn:R03321",NA,385,302,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry30","67","men:MEPCIT_116","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_116",NA,"rn:R02739",NA,357,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry38","75","men:MEPCIT_196","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_196",NA,"rn:R07618",NA,262,913,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry39","76","men:MEPCIT_226","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_226",NA,"rn:R01512",NA,483,557,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry81","124","men:MEPCIT_225","gene","http://www.kegg.jp/dbget-bin/www_bget?men:MEPCIT_225",NA,"rn:R01196",NA,284,789,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
