"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","14","epe:CI789_00060 / epe:CI789_03875 / epe:CI789_21480 / epe:CI789_21800 / epe:CI789_21805","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_00060+epe:CI789_03875+epe:CI789_21480+epe:CI789_21800+epe:CI789_21805",NA,"rn:R01070",NA,483,407,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry1","38","epe:CI789_04815 / epe:CI789_18740","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_04815+epe:CI789_18740",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry9","46","epe:CI789_03725 / epe:CI789_07175 / epe:CI789_07850","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_03725+epe:CI789_07175+epe:CI789_07850",NA,"rn:R00754",NA,439,941,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry11","48","epe:CI789_14725","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_14725",NA,"rn:R00014",NA,431,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry12","49","epe:CI789_14725","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_14725",NA,"rn:R03270",NA,319,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry13","50","epe:CI789_14720","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_14720",NA,"rn:R02569",NA,210,870,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry16","53","epe:CI789_04535 / epe:CI789_06575 / epe:CI789_08975","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_04535+epe:CI789_06575+epe:CI789_08975",NA,"rn:R00200",NA,483,771,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry18","55","epe:CI789_00545 / epe:CI789_23015","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_00545+epe:CI789_23015",NA,"rn:R00658",NA,483,701,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry19","56","epe:CI789_12150 / epe:CI789_23020","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_12150+epe:CI789_23020",NA,"rn:R01518",NA,458,630,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry20","57","epe:CI789_07055","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_07055",NA,"rn:R01061",NA,458,484,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry21","58","epe:CI789_01890 / epe:CI789_18060","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_01890+epe:CI789_18060",NA,"rn:R01015",NA,386,449,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry22","59","epe:CI789_18125","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_18125",NA,"rn:R04779",NA,458,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
"entry23","60","epe:CI789_15975 / epe:CI789_18030","gene","http://www.kegg.jp/dbget-bin/www_bget?epe:CI789_15975+epe:CI789_18030",NA,"rn:R04780",NA,408,336,"rectangle",46,17,"#000000","#BFFFBF",1,"00010"
