"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","28","agc:BSY240_3124 / agc:BSY240_3562 / agc:BSY240_689","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3124+agc:BSY240_3562+agc:BSY240_689",NA,"rn:R07618",NA,467,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry1","29","agc:BSY240_3119","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3119",NA,"rn:R00621",NA,661,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry2","30","agc:BSY240_3119","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3119",NA,"rn:R03316",NA,530,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry3","31","agc:BSY240_3120","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3120",NA,"rn:R02570",NA,403,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry4","32","agc:BSY240_3117 / agc:BSY240_3118","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3117+agc:BSY240_3118",NA,"rn:R00405",NA,260,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry6","34","agc:BSY240_379","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_379",NA,"rn:R00268",NA,718,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry8","36","agc:BSY240_379","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_379",NA,"rn:R01899",NA,718,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry10","38","agc:BSY240_331 / agc:BSY240_333","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_331+agc:BSY240_333",NA,"rn:R01082",NA,191,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry11","39","agc:BSY240_2909","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_2909",NA,"rn:R01900",NA,670,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry12","40","agc:BSY240_2909","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_2909",NA,"rn:R01325",NA,571,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry13","41","agc:BSY240_3578 / agc:BSY240_702","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3578+agc:BSY240_702",NA,"rn:R00351",NA,436,331,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry14","42","agc:BSY240_3116","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3116",NA,"rn:R00342",NA,253,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry15","43","agc:BSY240_3048","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3048",NA,"rn:R00344",NA,736,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry46","75","agc:BSY240_693 / agc:BSY240_694","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_693+agc:BSY240_694",NA,"rn:R00014",NA,686,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry48","77","agc:BSY240_693 / agc:BSY240_694","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_693+agc:BSY240_694",NA,"rn:R03270",NA,582,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry50","80","agc:BSY240_3124 / agc:BSY240_3562 / agc:BSY240_689","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3124+agc:BSY240_3562+agc:BSY240_689",NA,"rn:R07618",NA,529,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry52","82","agc:BSY240_4316 / agc:BSY240_692","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_4316+agc:BSY240_692",NA,"rn:R02569",NA,464,242,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry54","86","agc:BSY240_2835","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_2835",NA,"rn:R00341",NA,371,126,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry60","92","agc:BSY240_3110 / agc:BSY240_3111 / agc:BSY240_3112 / agc:BSY240_3113","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3110+agc:BSY240_3111+agc:BSY240_3112+agc:BSY240_3113",NA,"rn:R02164",NA,215,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry62","95","agc:BSY240_3110 / agc:BSY240_3111 / agc:BSY240_3112 / agc:BSY240_3113","gene","http://www.kegg.jp/dbget-bin/www_bget?agc:BSY240_3110+agc:BSY240_3111+agc:BSY240_3112+agc:BSY240_3113",NA,"rn:R02164",NA,165,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
