"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry7","35","cac:CA_C0972","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0972",NA,"rn:R00709",NA,766,463,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry10","38","cac:CA_C3090 / cac:CA_C3091","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C3090+cac:CA_C3091",NA,"rn:R01082",NA,191,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry11","39","cac:CA_C0971","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0971",NA,"rn:R01900",NA,670,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry12","40","cac:CA_C0971","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0971",NA,"rn:R01325",NA,571,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry15","43","cac:CA_C2660","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2660",NA,"rn:R00344",NA,736,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry65","99","cac:CA_C2458 / cac:CA_C2459","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2458+cac:CA_C2459",NA,"rn:R01197",NA,530,656,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry66","101","cac:CA_C2229 / cac:CA_C2499","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2229+cac:CA_C2499",NA,"rn:R01196",NA,535,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry67","102","cac:CA_C2458 / cac:CA_C2459","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2458+cac:CA_C2459",NA,"rn:R01196",NA,535,179,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry68","103","cac:CA_C2458 / cac:CA_C2459","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C2458+cac:CA_C2459",NA,"rn:R01197",NA,530,678,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry69","104","cac:CA_C0970","gene","http://www.kegg.jp/dbget-bin/www_bget?cac:CA_C0970",NA,"rn:R00351",NA,436,369,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
