"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","28","mmv:MYCMA_2009 / mmv:MYCMA_2301","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2009+mmv:MYCMA_2301",NA,"rn:R07618",NA,467,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry3","31","mmv:MYCMA_09905","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_09905",NA,"rn:R02570",NA,403,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry4","32","mmv:MYCMA_0560 / mmv:MYCMA_0561","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_0560+mmv:MYCMA_0561",NA,"rn:R00405",NA,260,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry6","34","mmv:MYCMA_2026","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2026",NA,"rn:R00268",NA,718,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry8","36","mmv:MYCMA_2026","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2026",NA,"rn:R01899",NA,718,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry10","38","mmv:MYCMA_0668","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_0668",NA,"rn:R01082",NA,191,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry11","39","mmv:MYCMA_1493","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_1493",NA,"rn:R01900",NA,670,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry12","40","mmv:MYCMA_1493","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_1493",NA,"rn:R01325",NA,571,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry13","41","mmv:MYCMA_0485 / mmv:MYCMA_0496 / mmv:MYCMA_2552","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_0485+mmv:MYCMA_0496+mmv:MYCMA_2552",NA,"rn:R00351",NA,436,331,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry15","43","mmv:MYCMA_1795","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_1795",NA,"rn:R00344",NA,736,278,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry46","75","mmv:MYCMA_0974 / mmv:MYCMA_2661 / mmv:MYCMA_2662","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_0974+mmv:MYCMA_2661+mmv:MYCMA_2662",NA,"rn:R00014",NA,686,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry48","77","mmv:MYCMA_0974 / mmv:MYCMA_2661 / mmv:MYCMA_2662","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_0974+mmv:MYCMA_2661+mmv:MYCMA_2662",NA,"rn:R03270",NA,582,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry50","80","mmv:MYCMA_2009 / mmv:MYCMA_2301","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2009+mmv:MYCMA_2301",NA,"rn:R07618",NA,529,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry52","82","mmv:MYCMA_2660","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2660",NA,"rn:R02569",NA,464,242,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry55","87","mmv:MYCMA_2495","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_2495",NA,"rn:R00431 rn:R00726",NA,371,105,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry60","92","mmv:MYCMA_05640 / mmv:MYCMA_05645 / mmv:MYCMA_2019 / mmv:MYCMA_2020 / mmv:MYCMA_2457 / mmv:MYCMA_2458","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_05640+mmv:MYCMA_05645+mmv:MYCMA_2019+mmv:MYCMA_2020+mmv:MYCMA_2457+mmv:MYCMA_2458",NA,"rn:R02164",NA,215,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry61","94","mmv:MYCMA_1459 / mmv:MYCMA_1735","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_1459+mmv:MYCMA_1735",NA,"rn:R00361",NA,253,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry62","95","mmv:MYCMA_05640 / mmv:MYCMA_05645 / mmv:MYCMA_2019 / mmv:MYCMA_2020 / mmv:MYCMA_2457 / mmv:MYCMA_2458","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_05640+mmv:MYCMA_05645+mmv:MYCMA_2019+mmv:MYCMA_2020+mmv:MYCMA_2457+mmv:MYCMA_2458",NA,"rn:R02164",NA,165,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry65","99","mmv:MYCMA_10575 / mmv:MYCMA_10580","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_10575+mmv:MYCMA_10580",NA,"rn:R01197",NA,530,656,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry67","102","mmv:MYCMA_10575 / mmv:MYCMA_10580","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_10575+mmv:MYCMA_10580",NA,"rn:R01196",NA,535,179,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry68","103","mmv:MYCMA_10575 / mmv:MYCMA_10580","gene","http://www.kegg.jp/dbget-bin/www_bget?mmv:MYCMA_10575+mmv:MYCMA_10580",NA,"rn:R01197",NA,530,678,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
