"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","28","ava:Ava_1927 / ava:Ava_3460","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1927+ava:Ava_3460",NA,"rn:R07618",NA,467,623,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry4","32","ava:Ava_1783 / ava:Ava_1784","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1783+ava:Ava_1784",NA,"rn:R00405",NA,260,579,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry6","34","ava:Ava_4831","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_4831",NA,"rn:R00268",NA,718,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry8","36","ava:Ava_4831","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_4831",NA,"rn:R01899",NA,718,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry10","38","ava:Ava_3556","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_3556",NA,"rn:R01082",NA,191,441,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry11","39","ava:Ava_0569","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_0569",NA,"rn:R01900",NA,670,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry12","40","ava:Ava_0569","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_0569",NA,"rn:R01325",NA,571,350,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry13","41","ava:Ava_2713","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_2713",NA,"rn:R00351",NA,436,331,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry14","42","ava:Ava_1273","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1273",NA,"rn:R00342",NA,253,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry46","75","ava:Ava_1491 / ava:Ava_4276","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1491+ava:Ava_4276",NA,"rn:R00014",NA,686,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry48","77","ava:Ava_1491 / ava:Ava_4276","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1491+ava:Ava_4276",NA,"rn:R03270",NA,582,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry50","80","ava:Ava_1927 / ava:Ava_3460","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1927+ava:Ava_3460",NA,"rn:R07618",NA,529,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry52","82","ava:Ava_3176","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_3176",NA,"rn:R02569",NA,464,242,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry60","92","ava:Ava_0523 / ava:Ava_0936 / ava:Ava_3648","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_0523+ava:Ava_0936+ava:Ava_3648",NA,"rn:R02164",NA,215,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry62","95","ava:Ava_0523 / ava:Ava_0936 / ava:Ava_3648","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_0523+ava:Ava_0936+ava:Ava_3648",NA,"rn:R02164",NA,165,535,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
"entry66","101","ava:Ava_1080 / ava:Ava_3046","gene","http://www.kegg.jp/dbget-bin/www_bget?ava:Ava_1080+ava:Ava_3046",NA,"rn:R01196",NA,535,157,"rectangle",46,17,"#000000","#BFFFBF",1,"00020"
