"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","37","hpy:HP1166","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1166",NA,"rn:R02739",NA,202,351,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry2","38","hpy:HP1099","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1099",NA,"rn:R05605",NA,740,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry5","41","hpy:HP1179","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1179",NA,"rn:R02749",NA,402,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry7","43","hpy:HP0742","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP0742",NA,"rn:R01049",NA,530,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry8","44","hpy:HP1179","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1179",NA,"rn:R01057",NA,628,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry10","46","hpy:HP1088","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1088",NA,"rn:R01641",NA,420,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry11","47","hpy:HP0574","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP0574",NA,"rn:R01056",NA,530,485,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry12","48","hpy:HP1386","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1386",NA,"rn:R01529",NA,476,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry13","49","hpy:HP1088","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1088",NA,"rn:R01830",NA,305,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry14","50","hpy:HP0176","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP0176",NA,"rn:R01070",NA,200,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry16","52","hpy:HP1385","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1385",NA,"rn:R04780",NA,140,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry17","53","hpy:HP1166","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1166",NA,"rn:R02740",NA,202,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry21","57","hpy:HP1102","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1102",NA,"rn:R02035",NA,451,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry22","58","hpy:HP1101","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1101",NA,"rn:R02736",NA,280,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry25","61","hpy:HP1100","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1100",NA,"rn:R02036",NA,598,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry40","77","hpy:HP1495","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1495",NA,"rn:R01827",NA,364,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry41","78","hpy:HP1275","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1275",NA,"rn:R01057",NA,628,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry104","157","hpy:HP1101","gene","http://www.kegg.jp/dbget-bin/www_bget?hpy:HP1101",NA,"rn:R02736 rn:R10907",NA,255,331,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
