"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","37","bcg:BCG9842_B0204","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B0204",NA,"rn:R02739",NA,202,351,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry4","40","bcg:BCG9842_B4641","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B4641",NA,"rn:R02750",NA,401,663,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry5","41","bcg:BCG9842_B1040","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1040",NA,"rn:R02749",NA,402,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry6","42","bcg:BCG9842_B3451","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B3451",NA,"rn:R01066",NA,262,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry7","43","bcg:BCG9842_B5261","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B5261",NA,"rn:R01049",NA,530,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry8","44","bcg:BCG9842_B1040","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1040",NA,"rn:R01057",NA,628,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry9","45","bcg:BCG9842_B4641","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B4641",NA,"rn:R01051",NA,628,520,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry10","46","bcg:BCG9842_B1524 / bcg:BCG9842_B1844","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1524+bcg:BCG9842_B1844",NA,"rn:R01641",NA,420,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry11","47","bcg:BCG9842_B2491 / bcg:BCG9842_B5511","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B2491+bcg:BCG9842_B5511",NA,"rn:R01056",NA,530,485,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry12","48","bcg:BCG9842_B1284","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1284",NA,"rn:R01529",NA,476,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry13","49","bcg:BCG9842_B1524 / bcg:BCG9842_B1844","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1524+bcg:BCG9842_B1844",NA,"rn:R01830",NA,305,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry14","50","bcg:BCG9842_B5494","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B5494",NA,"rn:R01070",NA,200,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry15","51","bcg:BCG9842_B0528","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B0528",NA,"rn:R04779",NA,176,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry16","52","bcg:BCG9842_B0134 / bcg:BCG9842_B5496","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B0134+bcg:BCG9842_B5496",NA,"rn:R04780",NA,140,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry17","53","bcg:BCG9842_B0204","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B0204",NA,"rn:R02740",NA,202,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry20","56","bcg:BCG9842_B1845 / bcg:BCG9842_B3070","gene","http://www.kegg.jp/dbget-bin/www_bget?bcg:BCG9842_B1845+bcg:BCG9842_B3070",NA,"rn:R01528",NA,504,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
