"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","36","eoj:ECO26_5207","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5207",NA,"rn:R06836",NA,628,605,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry1","37","eoj:ECO26_5140","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5140",NA,"rn:R02739",NA,202,351,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry2","38","eoj:ECO26_2688 / eoj:ECO26_4028","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_2688+eoj:ECO26_4028",NA,"rn:R05605",NA,740,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry4","40","eoj:ECO26_4826","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4826",NA,"rn:R02750",NA,401,663,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry5","41","eoj:ECO26_5589","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5589",NA,"rn:R02749",NA,402,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry6","42","eoj:ECO26_5587","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5587",NA,"rn:R01066",NA,262,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry7","43","eoj:ECO26_1720","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_1720",NA,"rn:R01049",NA,530,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry8","44","eoj:ECO26_5589","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5589",NA,"rn:R01057",NA,628,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry9","45","eoj:ECO26_4826","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4826",NA,"rn:R01051",NA,628,520,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry10","46","eoj:ECO26_3508 / eoj:ECO26_4026","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_3508+eoj:ECO26_4026",NA,"rn:R01641",NA,420,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry11","47","eoj:ECO26_4002 / eoj:ECO26_5203","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4002+eoj:ECO26_5203",NA,"rn:R01056",NA,530,485,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry12","48","eoj:ECO26_4474","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4474",NA,"rn:R01529",NA,476,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry13","49","eoj:ECO26_3508 / eoj:ECO26_4026","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_3508+eoj:ECO26_4026",NA,"rn:R01830",NA,305,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry14","50","eoj:ECO26_3006 / eoj:ECO26_4012","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_3006+eoj:ECO26_4012",NA,"rn:R01070",NA,200,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry15","51","eoj:ECO26_2496 / eoj:ECO26_4669","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_2496+eoj:ECO26_4669",NA,"rn:R04779",NA,176,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry16","52","eoj:ECO26_4022 / eoj:ECO26_4660 / eoj:ECO26_5399","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4022+eoj:ECO26_4660+eoj:ECO26_5399",NA,"rn:R04780",NA,140,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry17","53","eoj:ECO26_5140","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5140",NA,"rn:R02740",NA,202,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry20","56","eoj:ECO26_2940","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_2940",NA,"rn:R01528",NA,504,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry21","57","eoj:ECO26_0821","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_0821",NA,"rn:R02035",NA,451,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry22","58","eoj:ECO26_2690","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_2690",NA,"rn:R02736",NA,280,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry24","60","eoj:ECO26_4616","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4616",NA,"rn:R01541",NA,641,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry25","61","eoj:ECO26_2689","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_2689",NA,"rn:R02036",NA,598,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry26","62","eoj:ECO26_4526","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4526",NA,"rn:R01737",NA,534,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry29","65","eoj:ECO26_0126","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_0126",NA,"rn:R06620",NA,290,214,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry40","77","eoj:ECO26_0008 / eoj:ECO26_3507","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_0008+eoj:ECO26_3507",NA,"rn:R01827",NA,364,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry41","78","eoj:ECO26_0753","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_0753",NA,"rn:R01057",NA,628,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry48","95","eoj:ECO26_5048","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_5048",NA,"rn:R01739",NA,493,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry89","140","eoj:ECO26_4029","gene","http://www.kegg.jp/dbget-bin/www_bget?eoj:ECO26_4029",NA,"rn:R10408",NA,666,357,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
