"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","36","ypn:YPN_0623","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0623",NA,"rn:R06836",NA,628,605,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry1","37","ypn:YPN_0023","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0023",NA,"rn:R02739",NA,202,351,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry2","38","ypn:YPN_1544","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_1544",NA,"rn:R05605",NA,740,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry4","40","ypn:YPN_0008 / ypn:YPN_3549","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0008+ypn:YPN_3549",NA,"rn:R02750",NA,401,663,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry5","41","ypn:YPN_0310","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0310",NA,"rn:R02749",NA,402,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry6","42","ypn:YPN_0307 / ypn:YPN_2656 / ypn:YPN_3548","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0307+ypn:YPN_2656+ypn:YPN_3548",NA,"rn:R01066",NA,262,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry7","43","ypn:YPN_1494","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_1494",NA,"rn:R01049",NA,530,567,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry8","44","ypn:YPN_0310","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0310",NA,"rn:R01057",NA,628,541,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry9","45","ypn:YPN_0008 / ypn:YPN_3549","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0008+ypn:YPN_3549",NA,"rn:R01051",NA,628,520,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry10","46","ypn:YPN_0779 / ypn:YPN_0780 / ypn:YPN_3123","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0779+ypn:YPN_0780+ypn:YPN_3123",NA,"rn:R01641",NA,420,560,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry11","47","ypn:YPN_0741 / ypn:YPN_2686 / ypn:YPN_3114","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0741+ypn:YPN_2686+ypn:YPN_3114",NA,"rn:R01056",NA,530,485,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry12","48","ypn:YPN_3910","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3910",NA,"rn:R01529",NA,476,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry13","49","ypn:YPN_0779 / ypn:YPN_0780 / ypn:YPN_3123","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0779+ypn:YPN_0780+ypn:YPN_3123",NA,"rn:R01830",NA,305,446,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry14","50","ypn:YPN_3119 / ypn:YPN_3609","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3119+ypn:YPN_3609",NA,"rn:R01070",NA,200,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry15","51","ypn:YPN_3770","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3770",NA,"rn:R04779",NA,176,493,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry16","52","ypn:YPN_3264 / ypn:YPN_3759","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3264+ypn:YPN_3759",NA,"rn:R04780",NA,140,469,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry17","53","ypn:YPN_0023","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0023",NA,"rn:R02740",NA,202,416,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry20","56","ypn:YPN_2439","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_2439",NA,"rn:R01528",NA,504,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry21","57","ypn:YPN_2852","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_2852",NA,"rn:R02035",NA,451,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry22","58","ypn:YPN_1543","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_1543",NA,"rn:R02736",NA,280,310,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry24","60","ypn:YPN_3640","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3640",NA,"rn:R01541",NA,641,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry25","61","ypn:YPN_2128","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_2128",NA,"rn:R02036",NA,598,321,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry26","62","ypn:YPN_2135 / ypn:YPN_3602","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_2135+ypn:YPN_3602",NA,"rn:R01737",NA,534,241,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry40","77","ypn:YPN_0335","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_0335",NA,"rn:R01827",NA,364,526,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry41","78","ypn:YPN_1171","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_1171",NA,"rn:R01057",NA,628,562,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry48","95","ypn:YPN_3723","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_3723",NA,"rn:R01739",NA,493,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry103","156","ypn:YPN_2439","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_2439",NA,"rn:R10221",NA,554,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
"entry104","157","ypn:YPN_1543","gene","http://www.kegg.jp/dbget-bin/www_bget?ypn:YPN_1543",NA,"rn:R02736 rn:R10907",NA,255,331,"rectangle",46,17,"#000000","#BFFFBF",1,"00030"
