"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","62","avi:Avi_1489","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_1489",NA,"rn:R01982",NA,505,197,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry8","71","avi:Avi_7375","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_7375",NA,"rn:R01895",NA,378,879,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry9","72","avi:Avi_7374","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_7374",NA,"rn:R01526",NA,491,889,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry11","74","avi:Avi_2419","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_2419",NA,"rn:R01529",NA,540,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry17","80","avi:Avi_3833 / avi:Avi_5229","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3833+avi:Avi_5229",NA,"rn:R01639",NA,491,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry22","85","avi:Avi_6263","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_6263",NA,"rn:R01906",NA,600,685,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry24","87","avi:Avi_3832 / avi:Avi_7362","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3832+avi:Avi_7362",NA,"rn:R01432",NA,337,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry31","96","avi:Avi_3724","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3724",NA,"rn:R00289",NA,297,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry33","98","avi:Avi_1502","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_1502",NA,"rn:R00286",NA,297,435,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry36","102","avi:Avi_3892","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3892",NA,"rn:R01482",NA,506,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry37","103","avi:Avi_3896","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3896",NA,"rn:R02454",NA,389,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry38","104","avi:Avi_3897 / avi:Avi_5616","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3897+avi:Avi_5616",NA,"rn:R05606",NA,246,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry39","105","avi:Avi_3898","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3898",NA,"rn:R01540",NA,169,294,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry40","106","avi:Avi_3892","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3892",NA,"rn:R01983",NA,389,251,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry53","121","avi:Avi_1489","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_1489",NA,"rn:R02360",NA,453,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry57","125","avi:Avi_3894","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3894",NA,"rn:R04383",NA,203,199,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry58","126","avi:Avi_3895","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3895",NA,"rn:R01542",NA,89,269,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry129","204","avi:Avi_3912","gene","http://www.kegg.jp/dbget-bin/www_bget?avi:Avi_3912",NA,"rn:R00264",NA,61,864,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
