"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","62","brp:103827823 / brp:103827827 / brp:103830105 / brp:103831059 / brp:103834560 / brp:103834581 / brp:103836520 / brp:103841655 / brp:103841831 / brp:103844104 / brp:103846266 / brp:103846471 / brp:103849973 / brp:103851024 / brp:103851087 / brp:103858104 / brp:103858105 / brp:103859255 / brp:103859637 / brp:103862427 / brp:103863930 / brp:103865906 / brp:103865908 / brp:103866107 / brp:103866108 / brp:103866110 / brp:103866111 / brp:103866112 / brp:103866113 / brp:103866173 / brp:103866594 / brp:103866751 / brp:103866752 / brp:103866753 / brp:103869879 / brp:103869880 / brp:103870621","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103827823+brp:103827827+brp:103830105+brp:103831059+brp:103834560+brp:103834581+brp:103836520+brp:103841655+brp:103841831+brp:103844104+brp:103846266+brp:103846471+brp:103849973+brp:103851024+brp:103851087+brp:103858104+brp:103858105+brp:103859255+brp:103859637+brp:103862427+brp:103863930+brp:103865906+brp:103865908+brp:103866107+brp:103866108+brp:103866110+brp:103866111+brp:103866112+brp:103866113+brp:103866173+brp:103866594+brp:103866751+brp:103866752+brp:103866753+brp:103869879+brp:103869880+brp:103870621",NA,"rn:R01982",NA,505,197,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry9","72","brp:103842535","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103842535",NA,"rn:R01526",NA,491,889,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry11","74","brp:103838288 / brp:103847037 / brp:103860590","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103838288+brp:103847037+brp:103860590",NA,"rn:R01529",NA,540,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry17","80","brp:103873272","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103873272",NA,"rn:R01639",NA,491,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry24","87","brp:103845199 / brp:103851697","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103845199+brp:103851697",NA,"rn:R01432",NA,337,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry26","89","brp:103842543","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103842543",NA,"rn:R01758 rn:R01759",NA,816,640,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry28","92","brp:103842543","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103842543",NA,"rn:R01431",NA,388,639,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry31","96","brp:103844159 / brp:103855145 / brp:103856241","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103844159+brp:103855145+brp:103856241",NA,"rn:R00289",NA,297,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry33","98","brp:103840623 / brp:103846408 / brp:103850139 / brp:103850986 / brp:103856139 / brp:103863829 / brp:103868812 / brp:108872254","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103840623+brp:103846408+brp:103850139+brp:103850986+brp:103856139+brp:103863829+brp:103868812+brp:108872254",NA,"rn:R00286",NA,297,435,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry34","100","brp:103846481 / brp:103858900","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103846481+brp:103858900",NA,"rn:R01476",NA,490,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry35","101","brp:103842186","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103842186",NA,"rn:R01381",NA,364,396,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry52","120","brp:103828990 / brp:103830423 / brp:103831485 / brp:103832320 / brp:103835322 / brp:103835323 / brp:103836643 / brp:103843737 / brp:103844563 / brp:103849010 / brp:103849020 / brp:103849039 / brp:103854518 / brp:103857474 / brp:103857926 / brp:103858095 / brp:103858475 / brp:103859243 / brp:103859244 / brp:103859245 / brp:103860974 / brp:103863172 / brp:103865247 / brp:103865787 / brp:103870629 / brp:103870630 / brp:103872502 / brp:103874929 / brp:103875023","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103828990+brp:103830423+brp:103831485+brp:103832320+brp:103835322+brp:103835323+brp:103836643+brp:103843737+brp:103844563+brp:103849010+brp:103849020+brp:103849039+brp:103854518+brp:103857474+brp:103857926+brp:103858095+brp:103858475+brp:103859243+brp:103859244+brp:103859245+brp:103860974+brp:103863172+brp:103865247+brp:103865787+brp:103870629+brp:103870630+brp:103872502+brp:103874929+brp:103875023",NA,"rn:R07413",NA,453,221,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry53","121","brp:103827823 / brp:103827827 / brp:103830105 / brp:103831059 / brp:103834560 / brp:103834581 / brp:103836520 / brp:103841655 / brp:103841831 / brp:103844104 / brp:103846266 / brp:103846471 / brp:103849973 / brp:103851024 / brp:103851087 / brp:103858104 / brp:103858105 / brp:103859255 / brp:103859637 / brp:103862427 / brp:103863930 / brp:103865906 / brp:103865908 / brp:103866107 / brp:103866108 / brp:103866110 / brp:103866111 / brp:103866112 / brp:103866113 / brp:103866173 / brp:103866594 / brp:103866751 / brp:103866752 / brp:103866753 / brp:103869879 / brp:103869880 / brp:103870621","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103827823+brp:103827827+brp:103830105+brp:103831059+brp:103834560+brp:103834581+brp:103836520+brp:103841655+brp:103841831+brp:103844104+brp:103846266+brp:103846471+brp:103849973+brp:103851024+brp:103851087+brp:103858104+brp:103858105+brp:103859255+brp:103859637+brp:103862427+brp:103863930+brp:103865906+brp:103865908+brp:103866107+brp:103866108+brp:103866110+brp:103866111+brp:103866112+brp:103866113+brp:103866173+brp:103866594+brp:103866751+brp:103866752+brp:103866753+brp:103869879+brp:103869880+brp:103870621",NA,"rn:R02360",NA,453,170,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry54","122","brp:103833059 / brp:103833068 / brp:103833567 / brp:103834248 / brp:103834493 / brp:103836237 / brp:103836641 / brp:103836758 / brp:103836759 / brp:103836760 / brp:103836940 / brp:103837162 / brp:103837203 / brp:103842123 / brp:103842134 / brp:103842766 / brp:103843236 / brp:103843688 / brp:103844561 / brp:103844656 / brp:103845005 / brp:103845728 / brp:103847061 / brp:103847237 / brp:103847348 / brp:103847880 / brp:103848028 / brp:103848519 / brp:103848597 / brp:103849657 / brp:103849910 / brp:103850654 / brp:103851295 / brp:103851871 / brp:103852276 / brp:103854159 / brp:103854578 / brp:103855601 / brp:103857180 / brp:103858168 / brp:103858641 / brp:103859103 / brp:103859184 / brp:103859564 / brp:103859565 / brp:103860618 / brp:103864496 / brp:103866198 / brp:103866363 / brp:103866866 / brp:103870041 / brp:103870718 / brp:103870804 / brp:103870875 / brp:103870876 / brp:103873248 / brp:103873981 / brp:103874504 / brp:103875098","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103833059+brp:103833068+brp:103833567+brp:103834248+brp:103834493+brp:103836237+brp:103836641+brp:103836758+brp:103836759+brp:103836760+brp:103836940+brp:103837162+brp:103837203+brp:103842123+brp:103842134+brp:103842766+brp:103843236+brp:103843688+brp:103844561+brp:103844656+brp:103845005+brp:103845728+brp:103847061+brp:103847237+brp:103847348+brp:103847880+brp:103848028+brp:103848519+brp:103848597+brp:103849657+brp:103849910+brp:103850654+brp:103851295+brp:103851871+brp:103852276+brp:103854159+brp:103854578+brp:103855601+brp:103857180+brp:103858168+brp:103858641+brp:103859103+brp:103859184+brp:103859564+brp:103859565+brp:103860618+brp:103864496+brp:103866198+brp:103866363+brp:103866866+brp:103870041+brp:103870718+brp:103870804+brp:103870875+brp:103870876+brp:103873248+brp:103873981+brp:103874504+brp:103875098",NA,"rn:R02362",NA,452,118,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry55","123","brp:103827511 / brp:103828610 / brp:103828688 / brp:103829999 / brp:103831011 / brp:103831201 / brp:103833389 / brp:103833411 / brp:103834235 / brp:103834896 / brp:103836073 / brp:103836561 / brp:103836991 / brp:103837270 / brp:103837461 / brp:103839439 / brp:103841243 / brp:103841403 / brp:103842969 / brp:103843635 / brp:103844229 / brp:103846441 / brp:103847197 / brp:103847312 / brp:103850082 / brp:103850282 / brp:103850968 / brp:103851864 / brp:103852424 / brp:103853982 / brp:103854237 / brp:103854567 / brp:103855563 / brp:103856110 / brp:103858923 / brp:103859732 / brp:103860809 / brp:103861505 / brp:103862557 / brp:103863187 / brp:103863605 / brp:103863641 / brp:103870538 / brp:103870710 / brp:103872042 / brp:103872043 / brp:103872235 / brp:103873738 / brp:103875221","gene","http://www.kegg.jp/dbget-bin/www_bget?brp:103827511+brp:103828610+brp:103828688+brp:103829999+brp:103831011+brp:103831201+brp:103833389+brp:103833411+brp:103834235+brp:103834896+brp:103836073+brp:103836561+brp:103836991+brp:103837270+brp:103837461+brp:103839439+brp:103841243+brp:103841403+brp:103842969+brp:103843635+brp:103844229+brp:103846441+brp:103847197+brp:103847312+brp:103850082+brp:103850282+brp:103850968+brp:103851864+brp:103852424+brp:103853982+brp:103854237+brp:103854567+brp:103855563+brp:103856110+brp:103858923+brp:103859732+brp:103860809+brp:103861505+brp:103862557+brp:103863187+brp:103863605+brp:103863641+brp:103870538+brp:103870710+brp:103872042+brp:103872043+brp:103872235+brp:103873738+brp:103875221",NA,"rn:R02361",NA,389,138,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
