"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","64","skl:C7J89_00625","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_00625",NA,"rn:R07125",NA,738,588,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry5","67","skl:C7J89_03820","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_03820",NA,"rn:R01478",NA,491,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry6","68","skl:C7J89_02130","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_02130",NA,"rn:R01761",NA,868,714,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry7","70","skl:C7J89_04385 / skl:C7J89_12785","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_04385+skl:C7J89_12785",NA,"rn:R02439",NA,733,810,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry10","73","skl:C7J89_04385 / skl:C7J89_12785","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_04385+skl:C7J89_12785",NA,"rn:R01526",NA,491,868,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry11","74","skl:C7J89_09725","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_09725",NA,"rn:R01529",NA,540,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry12","75","skl:C7J89_00615 / skl:C7J89_02125","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_00615+skl:C7J89_02125",NA,"rn:R05850",NA,597,811,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry14","77","skl:C7J89_03585","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_03585",NA,"rn:R02921",NA,706,880,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry15","78","skl:C7J89_00620","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_00620",NA,"rn:R03244",NA,657,774,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry17","80","skl:C7J89_03100","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_03100",NA,"rn:R01639",NA,491,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry31","96","skl:C7J89_02285 / skl:C7J89_11990","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_02285+skl:C7J89_11990",NA,"rn:R00289",NA,297,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry36","102","skl:C7J89_12825","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_12825",NA,"rn:R01482",NA,506,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry38","104","skl:C7J89_12820","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_12820",NA,"rn:R05606",NA,246,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry40","106","skl:C7J89_12825","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_12825",NA,"rn:R01983",NA,389,251,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry123","195","skl:C7J89_01610","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_01610",NA,"rn:R01896",NA,462,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry135","212","skl:C7J89_03590","gene","http://www.kegg.jp/dbget-bin/www_bget?skl:C7J89_03590",NA,"rn:R01525",NA,598,889,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
