"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5","67","tpy:CQ11_02225","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_02225",NA,"rn:R01478",NA,491,419,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry7","70","tpy:CQ11_09080","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09080",NA,"rn:R02439",NA,733,810,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry10","73","tpy:CQ11_09080","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09080",NA,"rn:R01526",NA,491,868,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry11","74","tpy:CQ11_00600","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_00600",NA,"rn:R01529",NA,540,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry12","75","tpy:CQ11_09085","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09085",NA,"rn:R05850",NA,597,811,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry17","80","tpy:CQ11_09090 / tpy:CQ11_09210","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09090+tpy:CQ11_09210",NA,"rn:R01639",NA,491,727,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry24","87","tpy:CQ11_09205","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09205",NA,"rn:R01432",NA,337,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry25","88","tpy:CQ11_09810","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_09810",NA,"rn:R02427",NA,205,692,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry36","102","tpy:CQ11_07000","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_07000",NA,"rn:R01482",NA,506,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry37","103","tpy:CQ11_07925","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_07925",NA,"rn:R02454",NA,389,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry38","104","tpy:CQ11_07930","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_07930",NA,"rn:R05606",NA,246,346,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry40","106","tpy:CQ11_07000","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_07000",NA,"rn:R01983",NA,389,251,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
"entry59","127","tpy:CQ11_03110","gene","http://www.kegg.jp/dbget-bin/www_bget?tpy:CQ11_03110",NA,"rn:R01902",NA,616,574,"rectangle",46,17,"#000000","#BFFFBF",1,"00040"
