"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","54","xao:XAC29_12700 / xao:XAC29_12710","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_12700+xao:XAC29_12710",NA,"rn:R03232",NA,310,1006,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry5","59","xao:XAC29_08935 / xao:XAC29_21310","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_08935+xao:XAC29_21310",NA,"rn:R00878",NA,134,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry10","69","xao:XAC29_09020","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_09020",NA,"rn:R01332",NA,149,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry14","74","xao:XAC29_07855","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_07855",NA,"rn:R00867",NA,524,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry18","78","xao:XAC29_18225","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_18225",NA,"rn:R01819",NA,682,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry19","79","xao:XAC29_18220 / xao:XAC29_19845","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_18220+xao:XAC29_19845",NA,"rn:R01818",NA,397,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry23","84","xao:XAC29_18225","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_18225",NA,"rn:R00885",NA,372,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry26","88","xao:XAC29_17505","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_17505",NA,"rn:R04779",NA,963,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry27","89","xao:XAC29_17505","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_17505",NA,"rn:R02073",NA,922,447,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry30","92","xao:XAC29_12705","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_12705",NA,"rn:R02071",NA,1038,738,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry31","93","xao:XAC29_13795","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_13795",NA,"rn:R01015",NA,922,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry32","94","xao:XAC29_17040","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_17040",NA,"rn:R02568",NA,589,989,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry34","96","xao:XAC29_17040","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_17040",NA,"rn:R01070",NA,922,593,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry43","105","xao:XAC29_00620","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_00620",NA,"rn:R04780",NA,878,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry92","167","xao:XAC29_21405","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_21405",NA,"rn:R02262",NA,589,742,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry104","187","xao:XAC29_00870","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_00870",NA,"rn:R09030",NA,1025,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry108","192","xao:XAC29_00815 / xao:XAC29_21075","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_00815+xao:XAC29_21075",NA,"rn:R08926",NA,262,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry111","196","xao:XAC29_21080","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_21080",NA,"rn:R10689",NA,351,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry113","199","xao:XAC29_21095","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_21095",NA,"rn:R03688",NA,447,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry115","202","xao:XAC29_21085","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_21085",NA,"rn:R10690",NA,541,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry116","204","xao:XAC29_21090","gene","http://www.kegg.jp/dbget-bin/www_bget?xao:XAC29_21090",NA,"rn:R10691",NA,637,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
