"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","60","hel:HELO_3696 / hel:HELO_3698","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_3696+hel:HELO_3698",NA,"rn:R03232",NA,310,1006,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry2","62","hel:HELO_2488","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2488",NA,"rn:R02925",NA,198,117,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry8","69","hel:HELO_2490","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2490",NA,"rn:R00868",NA,409,191,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry14","80","hel:HELO_3631","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_3631",NA,"rn:R00867",NA,524,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry19","85","hel:HELO_3829","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_3829",NA,"rn:R01818",NA,397,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry26","94","hel:HELO_2186","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2186",NA,"rn:R04779",NA,963,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry27","95","hel:HELO_2186","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2186",NA,"rn:R02073",NA,922,447,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry30","98","hel:HELO_3697","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_3697",NA,"rn:R02071",NA,1038,738,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry31","99","hel:HELO_4141","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_4141",NA,"rn:R01015",NA,922,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry32","100","hel:HELO_1180 / hel:HELO_1183","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_1180+hel:HELO_1183",NA,"rn:R02568",NA,589,989,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry33","101","hel:HELO_2943","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2943",NA,"rn:R01059",NA,976,738,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry34","102","hel:HELO_1180 / hel:HELO_1183","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_1180+hel:HELO_1183",NA,"rn:R01070",NA,922,593,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry38","106","hel:HELO_4213","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_4213",NA,"rn:R03942",NA,264,857,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry41","109","hel:HELO_1039 / hel:HELO_4210","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_1039+hel:HELO_4210",NA,"rn:R03774",NA,447,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry92","173","hel:HELO_2822 / hel:HELO_4087","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_2822+hel:HELO_4087",NA,"rn:R02262",NA,589,742,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry104","196","hel:HELO_1188","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_1188",NA,"rn:R09030",NA,1025,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry113","208","hel:HELO_1050","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_1050",NA,"rn:R03688",NA,447,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry115","211","hel:HELO_3551","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_3551",NA,"rn:R10690",NA,541,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry127","229","hel:HELO_4213","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_4213",NA,"rn:R10788",NA,264,911,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry128","230","hel:HELO_4213","gene","http://www.kegg.jp/dbget-bin/www_bget?hel:HELO_4213",NA,"rn:R10788 rn:R10995",NA,264,890,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
