"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5","65","sphc:CVN68_12615","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_12615",NA,"rn:R00878",NA,134,202,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry10","75","sphc:CVN68_06785","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_06785",NA,"rn:R01332",NA,149,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry12","78","sphc:CVN68_03970","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_03970",NA,"rn:R02630",NA,310,304,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry14","80","sphc:CVN68_01750 / sphc:CVN68_12105","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_01750+sphc:CVN68_12105",NA,"rn:R00867",NA,524,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry18","84","sphc:CVN68_18550","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_18550",NA,"rn:R01819",NA,682,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry19","85","sphc:CVN68_15610","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_15610",NA,"rn:R01818",NA,397,355,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry21","88","sphc:CVN68_21885","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_21885",NA,"rn:R05692",NA,397,583,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry22","89","sphc:CVN68_21890","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_21890",NA,"rn:R00888",NA,397,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry23","90","sphc:CVN68_18000","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_18000",NA,"rn:R00885",NA,372,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry26","94","sphc:CVN68_09160","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_09160",NA,"rn:R04779",NA,963,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry28","96","sphc:CVN68_20100","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_20100",NA,"rn:R03706",NA,768,400,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry31","99","sphc:CVN68_06295","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_06295",NA,"rn:R01015",NA,922,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry32","100","sphc:CVN68_04290","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_04290",NA,"rn:R02568",NA,589,989,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry34","102","sphc:CVN68_04290","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_04290",NA,"rn:R01070",NA,922,593,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry38","106","sphc:CVN68_10795","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_10795",NA,"rn:R03942",NA,264,857,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry41","109","sphc:CVN68_10785","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_10785",NA,"rn:R03774",NA,447,858,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry43","111","sphc:CVN68_12725","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_12725",NA,"rn:R04780",NA,878,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry104","196","sphc:CVN68_15530","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_15530",NA,"rn:R09030",NA,1025,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry108","201","sphc:CVN68_01380 / sphc:CVN68_16995","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_01380+sphc:CVN68_16995",NA,"rn:R08926",NA,262,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry111","205","sphc:CVN68_17000","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_17000",NA,"rn:R10689",NA,351,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry113","208","sphc:CVN68_01370","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_01370",NA,"rn:R03688",NA,447,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry115","211","sphc:CVN68_01385 / sphc:CVN68_12480 / sphc:CVN68_16990","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_01385+sphc:CVN68_12480+sphc:CVN68_16990",NA,"rn:R10690",NA,541,784,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry127","229","sphc:CVN68_10795","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_10795",NA,"rn:R10788",NA,264,911,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry128","230","sphc:CVN68_10795","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_10795",NA,"rn:R10788 rn:R10995",NA,264,890,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry133","238","sphc:CVN68_10775","gene","http://www.kegg.jp/dbget-bin/www_bget?sphc:CVN68_10775",NA,"rn:R11339",NA,541,828,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
