"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","54","stur:STURON_00366 / stur:STURON_00692 / stur:STURON_00854","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00366+stur:STURON_00692+stur:STURON_00854",NA,"rn:R03232",NA,310,1006,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry9","67","stur:STURON_00775","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00775",NA,"rn:R02704",NA,780,198,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry12","72","stur:STURON_00694","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00694",NA,"rn:R02630",NA,310,304,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry14","74","stur:STURON_00451","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00451",NA,"rn:R00867",NA,524,282,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry17","77","stur:STURON_00777","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00777",NA,"rn:R02703",NA,977,253,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry18","78","stur:STURON_0085","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_0085",NA,"rn:R01819",NA,682,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry26","88","stur:STURON_00919","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00919",NA,"rn:R04779",NA,963,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry30","92","stur:STURON_00365","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00365",NA,"rn:R02071",NA,1038,738,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry31","93","stur:STURON_00968","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00968",NA,"rn:R01015",NA,922,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry32","94","stur:STURON_001049","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_001049",NA,"rn:R02568",NA,589,989,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry34","96","stur:STURON_001049","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_001049",NA,"rn:R01070",NA,922,593,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry43","105","stur:STURON_00869","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_00869",NA,"rn:R04780",NA,878,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
"entry104","187","stur:STURON_0042","gene","http://www.kegg.jp/dbget-bin/www_bget?stur:STURON_0042",NA,"rn:R09030",NA,1025,216,"rectangle",46,17,"#000000","#BFFFBF",1,"00051"
