"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R03634",NA,590,473,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","bpse:BDL_5365","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5365",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry5","58","bpse:BDL_1199","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_1199",NA,"rn:R01069",NA,990,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry6","59","bpse:BDL_2470","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2470",NA,"rn:R01064",NA,886,207,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry8","61","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R05549",NA,628,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry12","65","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R01103",NA,739,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry16","69","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R01104",NA,116,681,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry17","70","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R01329",NA,116,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry18","71","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R02926",NA,116,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry19","72","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R01194",NA,116,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry20","73","bpse:BDL_2834","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2834",NA,"rn:R01786",NA,428,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry24","77","bpse:BDL_2780","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2780",NA,"rn:R00959",NA,505,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry26","79","bpse:BDL_2772 / bpse:BDL_2776","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2772+bpse:BDL_2776",NA,"rn:R00291",NA,566,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry27","80","bpse:BDL_2677 / bpse:BDL_5034 / bpse:BDL_516","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2677+bpse:BDL_5034+bpse:BDL_516",NA,"rn:R00289",NA,505,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry29","83","bpse:BDL_2469","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2469",NA,"rn:R03387",NA,760,172,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry30","84","bpse:BDL_1305","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_1305",NA,"rn:R03033",NA,684,116,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry43","98","bpse:BDL_594","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_594",NA,"rn:R01098",NA,368,91,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry50","111","bpse:BDL_5536","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_5536",NA,"rn:R01101",NA,709,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry107","172","bpse:BDL_2476 / bpse:BDL_5520","gene","http://www.kegg.jp/dbget-bin/www_bget?bpse:BDL_2476+bpse:BDL_5520",NA,"rn:R10619",NA,163,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
