"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R03634",NA,590,473,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","lak:106165455 / lak:106172081 / lak:106175583","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106165455+lak:106172081+lak:106175583",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry8","61","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R05549",NA,628,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry11","64","lak:106161988 / lak:106170516 / lak:106171772 / lak:106171773 / lak:106172919 / lak:106174580 / lak:106181238","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106161988+lak:106170516+lak:106171772+lak:106171773+lak:106172919+lak:106174580+lak:106181238",NA,"rn:R00801",NA,762,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry12","65","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R01103",NA,739,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry15","68","lak:106150990 / lak:106153978 / lak:106168080 / lak:106181547","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106150990+lak:106153978+lak:106168080+lak:106181547",NA,"rn:R01093 rn:R01095",NA,196,742,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry16","69","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R01104",NA,116,681,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry17","70","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R01329",NA,116,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry18","71","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R02926",NA,116,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry19","72","lak:106155315 / lak:106163087","gene","http://www.kegg.jp/dbget-bin/www_bget?lak:106155315+lak:106163087",NA,"rn:R01194",NA,116,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
