"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","54","lmq:LMM7_0525 / lmq:LMM7_0529 / lmq:LMM7_0530 / lmq:LMM7_2195 / lmq:LMM7_2196 / lmq:LMM7_2197 / lmq:LMM7_2777 / lmq:LMM7_2778 / lmq:LMM7_2779","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_0525+lmq:LMM7_0529+lmq:LMM7_0530+lmq:LMM7_2195+lmq:LMM7_2196+lmq:LMM7_2197+lmq:LMM7_2777+lmq:LMM7_2778+lmq:LMM7_2779",NA,"rn:R05570",NA,569,769,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","lmq:LMM7_1657","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_1657",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry5","58","lmq:LMM7_0569","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_0569",NA,"rn:R01069",NA,990,325,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry11","64","lmq:LMM7_0204","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_0204",NA,"rn:R00801",NA,762,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry20","73","lmq:LMM7_1424","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_1424",NA,"rn:R01786",NA,428,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry24","77","lmq:LMM7_2517","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_2517",NA,"rn:R00959",NA,505,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry26","79","lmq:LMM7_2519","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_2519",NA,"rn:R00291",NA,566,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry27","80","lmq:LMM7_1108","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_1108",NA,"rn:R00289",NA,505,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry95","156","lmq:LMM7_0205 / lmq:LMM7_0287","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_0205+lmq:LMM7_0287",NA,"rn:R00801",NA,812,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry107","172","lmq:LMM7_2518","gene","http://www.kegg.jp/dbget-bin/www_bget?lmq:LMM7_2518",NA,"rn:R10619",NA,163,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
