"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R03634",NA,590,473,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","pste:PSTEL_10460 / pste:PSTEL_11010","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_10460+pste:PSTEL_11010",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry8","61","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R05549",NA,628,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry11","64","pste:PSTEL_07700 / pste:PSTEL_20240 / pste:PSTEL_22810","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_07700+pste:PSTEL_20240+pste:PSTEL_22810",NA,"rn:R00801",NA,762,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry12","65","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R01103",NA,739,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry16","69","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R01104",NA,116,681,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry17","70","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R01329",NA,116,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry18","71","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R02926",NA,116,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry19","72","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R01194",NA,116,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry20","73","pste:PSTEL_01200 / pste:PSTEL_08560","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_01200+pste:PSTEL_08560",NA,"rn:R01786",NA,428,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry23","76","pste:PSTEL_23565 / pste:PSTEL_23660","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_23565+pste:PSTEL_23660",NA,"rn:R01678",NA,193,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry24","77","pste:PSTEL_25140","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_25140",NA,"rn:R00959",NA,505,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry26","79","pste:PSTEL_08815 / pste:PSTEL_21220 / pste:PSTEL_24510","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_08815+pste:PSTEL_21220+pste:PSTEL_24510",NA,"rn:R00291",NA,566,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry27","80","pste:PSTEL_03190 / pste:PSTEL_05735 / pste:PSTEL_24570","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_03190+pste:PSTEL_05735+pste:PSTEL_24570",NA,"rn:R00289",NA,505,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry28","82","pste:PSTEL_08820","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_08820",NA,"rn:R00955",NA,354,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry30","84","pste:PSTEL_23665","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_23665",NA,"rn:R03033",NA,684,116,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry39","94","pste:PSTEL_03220 / pste:PSTEL_03830 / pste:PSTEL_03840 / pste:PSTEL_14200 / pste:PSTEL_19055 / pste:PSTEL_23565 / pste:PSTEL_23660","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_03220+pste:PSTEL_03830+pste:PSTEL_03840+pste:PSTEL_14200+pste:PSTEL_19055+pste:PSTEL_23565+pste:PSTEL_23660",NA,"rn:R01105",NA,210,352,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry50","111","pste:PSTEL_04700 / pste:PSTEL_08135 / pste:PSTEL_09880 / pste:PSTEL_15515","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_04700+pste:PSTEL_08135+pste:PSTEL_09880+pste:PSTEL_15515",NA,"rn:R01101",NA,709,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry95","156","pste:PSTEL_20945","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_20945",NA,"rn:R00801",NA,812,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry106","171","pste:PSTEL_18695","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_18695",NA,"rn:R01092",NA,245,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry107","172","pste:PSTEL_12525 / pste:PSTEL_22475","gene","http://www.kegg.jp/dbget-bin/www_bget?pste:PSTEL_12525+pste:PSTEL_22475",NA,"rn:R10619",NA,163,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
