"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R03634",NA,590,473,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","fae:FAES_0406 / fae:FAES_0429","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0406+fae:FAES_0429",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry8","61","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R05549",NA,628,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry12","65","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R01103",NA,739,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry16","69","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R01104",NA,116,681,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry17","70","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R01329",NA,116,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry18","71","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R02926",NA,116,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry19","72","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R01194",NA,116,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry20","73","fae:FAES_2368 / fae:FAES_2373 / fae:FAES_2732 / fae:FAES_3605 / fae:FAES_4937","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_2368+fae:FAES_2373+fae:FAES_2732+fae:FAES_3605+fae:FAES_4937",NA,"rn:R01786",NA,428,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry23","76","fae:FAES_4351","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_4351",NA,"rn:R01678",NA,193,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry24","77","fae:FAES_2581","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_2581",NA,"rn:R00959",NA,505,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry26","79","fae:FAES_1006","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_1006",NA,"rn:R00291",NA,566,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry27","80","fae:FAES_1443 / fae:FAES_4698","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_1443+fae:FAES_4698",NA,"rn:R00289",NA,505,252,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry30","84","fae:FAES_4319","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_4319",NA,"rn:R03033",NA,684,116,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry39","94","fae:FAES_4351","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_4351",NA,"rn:R01105",NA,210,352,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry50","111","fae:FAES_0887 / fae:FAES_2384","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0887+fae:FAES_2384",NA,"rn:R01101",NA,709,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry106","171","fae:FAES_0625 / fae:FAES_2080 / fae:FAES_2937 / fae:FAES_3416","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_0625+fae:FAES_2080+fae:FAES_2937+fae:FAES_3416",NA,"rn:R01092",NA,245,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry107","172","fae:FAES_3777 / fae:FAES_4617","gene","http://www.kegg.jp/dbget-bin/www_bget?fae:FAES_3777+fae:FAES_4617",NA,"rn:R10619",NA,163,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
