"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","55","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R03634",NA,590,473,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry4","57","ego:BBD34_12545","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_12545",NA,"rn:R03236 rn:R03237 rn:R03238 rn:R03239",NA,964,576,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry8","61","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R05549",NA,628,563,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry12","65","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R01103",NA,739,422,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry16","69","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R01104",NA,116,681,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry17","70","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R01329",NA,116,620,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry18","71","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R02926",NA,116,558,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry19","72","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R01194",NA,116,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry20","73","ego:BBD34_03595 / ego:BBD34_07880 / ego:BBD34_11425","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_03595+ego:BBD34_07880+ego:BBD34_11425",NA,"rn:R01786",NA,428,475,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry23","76","ego:BBD34_02205 / ego:BBD34_07070 / ego:BBD34_07690","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_02205+ego:BBD34_07070+ego:BBD34_07690",NA,"rn:R01678",NA,193,393,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry24","77","ego:BBD34_02245","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_02245",NA,"rn:R00959",NA,505,403,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry26","79","ego:BBD34_18240","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_18240",NA,"rn:R00291",NA,566,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry28","82","ego:BBD34_15330","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_15330",NA,"rn:R00955",NA,354,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry39","94","ego:BBD34_02205 / ego:BBD34_07070 / ego:BBD34_07510 / ego:BBD34_07690","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_02205+ego:BBD34_07070+ego:BBD34_07510+ego:BBD34_07690",NA,"rn:R01105",NA,210,352,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry50","111","ego:BBD34_16360","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_16360",NA,"rn:R01101",NA,709,601,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry106","171","ego:BBD34_15335","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_15335",NA,"rn:R01092",NA,245,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
"entry107","172","ego:BBD34_15340","gene","http://www.kegg.jp/dbget-bin/www_bget?ego:BBD34_15340",NA,"rn:R10619",NA,163,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00052"
