"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","35","aka:TKWG_07800","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_07800",NA,"rn:R00286",NA,135,164,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry22","51","aka:TKWG_03875 / aka:TKWG_17280","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_03875+aka:TKWG_17280",NA,"rn:R02933",NA,489,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry36","73","aka:TKWG_24700 / aka:TKWG_24705 / aka:TKWG_24710","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_24700+aka:TKWG_24705+aka:TKWG_24710",NA,"rn:R02957",NA,696,164,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry39","89","aka:TKWG_00830 / aka:TKWG_07465","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_00830+aka:TKWG_07465",NA,"rn:R03277",NA,1105,69,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry41","91","aka:TKWG_00830 / aka:TKWG_07465","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_00830+aka:TKWG_07465",NA,"rn:R02754",NA,1105,164,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry42","92","aka:TKWG_06975","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_06975",NA,"rn:R05608",NA,945,190,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry43","93","aka:TKWG_06970","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_06970",NA,"rn:R02279",NA,1055,242,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry50","101","aka:TKWG_11855","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_11855",NA,"rn:R02526",NA,1056,468,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry63","116","aka:TKWG_05305","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_05305",NA,"rn:R10841",NA,948,549,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry66","121","aka:TKWG_00290","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_00290",NA,"rn:R10847",NA,999,226,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
"entry73","138","aka:TKWG_12700","gene","http://www.kegg.jp/dbget-bin/www_bget?aka:TKWG_12700",NA,"rn:R07671",NA,728,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00053"
