"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry26","50","bstg:WT74_26660","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_26660",NA,"rn:R07765",NA,1264,610,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry34","58","bstg:WT74_10470 / bstg:WT74_18965 / bstg:WT74_20235","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_10470+bstg:WT74_18965+bstg:WT74_20235",NA,"rn:R07764",NA,1264,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry35","59","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R07762",NA,1264,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry36","60","bstg:WT74_05645 / bstg:WT74_06795 / bstg:WT74_07155 / bstg:WT74_12120 / bstg:WT74_12955 / bstg:WT74_14625 / bstg:WT74_16840 / bstg:WT74_19615 / bstg:WT74_20245 / bstg:WT74_29130","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05645+bstg:WT74_06795+bstg:WT74_07155+bstg:WT74_12120+bstg:WT74_12955+bstg:WT74_14625+bstg:WT74_16840+bstg:WT74_19615+bstg:WT74_20245+bstg:WT74_29130",NA,"rn:R07763",NA,1264,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry40","64","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04968",NA,1037,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry41","65","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04726",NA,895,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry42","66","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04963",NA,754,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry43","67","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04960",NA,612,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry44","68","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04957",NA,470,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry45","69","bstg:WT74_05655 / bstg:WT74_06800 / bstg:WT74_20280 / bstg:WT74_22445","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05655+bstg:WT74_06800+bstg:WT74_20280+bstg:WT74_22445",NA,"rn:R04952",NA,328,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry52","76","bstg:WT74_26660","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_26660",NA,"rn:R04969 rn:R04970",NA,1037,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry57","81","bstg:WT74_05645 / bstg:WT74_06795 / bstg:WT74_07155 / bstg:WT74_12120 / bstg:WT74_12955 / bstg:WT74_14625 / bstg:WT74_16840 / bstg:WT74_19615 / bstg:WT74_20245 / bstg:WT74_29130","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05645+bstg:WT74_06795+bstg:WT74_07155+bstg:WT74_12120+bstg:WT74_12955+bstg:WT74_14625+bstg:WT74_16840+bstg:WT74_19615+bstg:WT74_20245+bstg:WT74_29130",NA,"rn:R04543",NA,1037,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry60","84","bstg:WT74_06785 / bstg:WT74_06805 / bstg:WT74_14665","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_06785+bstg:WT74_06805+bstg:WT74_14665",NA,"rn:R04968",NA,1037,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry63","87","bstg:WT74_26660","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_26660",NA,"rn:R04966 rn:R04967",NA,895,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry68","92","bstg:WT74_05645 / bstg:WT74_06795 / bstg:WT74_07155 / bstg:WT74_12120 / bstg:WT74_12955 / bstg:WT74_14625 / bstg:WT74_16840 / bstg:WT74_19615 / bstg:WT74_20245 / bstg:WT74_29130","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05645+bstg:WT74_06795+bstg:WT74_07155+bstg:WT74_12120+bstg:WT74_12955+bstg:WT74_14625+bstg:WT74_16840+bstg:WT74_19615+bstg:WT74_20245+bstg:WT74_29130",NA,"rn:R04566",NA,895,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry71","95","bstg:WT74_06785 / bstg:WT74_06805 / bstg:WT74_14665","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_06785+bstg:WT74_06805+bstg:WT74_14665",NA,"rn:R04726",NA,895,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry74","98","bstg:WT74_26660","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_26660",NA,"rn:R04724 rn:R04725",NA,754,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry79","103","bstg:WT74_05645 / bstg:WT74_06795 / bstg:WT74_07155 / bstg:WT74_12120 / bstg:WT74_12955 / bstg:WT74_14625 / bstg:WT74_16840 / bstg:WT74_19615 / bstg:WT74_20245 / bstg:WT74_29130","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_05645+bstg:WT74_06795+bstg:WT74_07155+bstg:WT74_12120+bstg:WT74_12955+bstg:WT74_14625+bstg:WT74_16840+bstg:WT74_19615+bstg:WT74_20245+bstg:WT74_29130",NA,"rn:R04964",NA,754,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry82","106","bstg:WT74_06785 / bstg:WT74_06805 / bstg:WT74_14665","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_06785+bstg:WT74_06805+bstg:WT74_14665",NA,"rn:R04963",NA,754,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry85","109","bstg:WT74_26660","gene","http://www.kegg.jp/dbget-bin/www_bget?bstg:WT74_26660",NA,"rn:R04961 rn:R04962",NA,612,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
