"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry26","50","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R07765",NA,1264,610,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry34","58","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R07764",NA,1264,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry35","59","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R07762",NA,1264,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry36","60","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R07763",NA,1264,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry40","64","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04968",NA,1037,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry41","65","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04726",NA,895,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry42","66","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04963",NA,754,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry43","67","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04960",NA,612,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry44","68","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04957",NA,470,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry45","69","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04952",NA,328,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry52","76","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04969 rn:R04970",NA,1037,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry57","81","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04543",NA,1037,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry63","87","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04966 rn:R04967",NA,895,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry68","92","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04566",NA,895,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry74","98","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04724 rn:R04725",NA,754,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry79","103","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04964",NA,754,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry85","109","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04961 rn:R04962",NA,612,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry90","114","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04534",NA,612,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry96","120","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04958 rn:R04959",NA,470,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry101","125","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04536",NA,470,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry107","131","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04955 rn:R04956",NA,328,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry112","136","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04953",NA,328,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry118","142","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R04429 rn:R04430",NA,187,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry124","148","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R04533",NA,187,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry129","153","cpsd:BN356_4811","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4811",NA,"rn:R01626",NA,300,227,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry135","159","cpsd:BN356_3431 / cpsd:BN356_3771 / cpsd:BN356_5501 / cpsd:BN356_5511","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3431+cpsd:BN356_3771+cpsd:BN356_5501+cpsd:BN356_5511",NA,"rn:R00742",NA,275,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry208","265","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04355",NA,187,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry210","268","cpsd:BN356_4801","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4801",NA,"rn:R10707",NA,34,329,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry214","272","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04428",NA,187,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry216","274","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04954",NA,328,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry219","277","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04537",NA,470,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry221","279","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04535",NA,612,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry223","281","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04965",NA,754,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry226","284","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04568",NA,895,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry229","287","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R04544",NA,1037,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry276","348","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R02767",NA,931,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry290","369","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R01403",NA,701,1406,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry300","384","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R02768",NA,701,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry311","401","cpsd:BN356_4801","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4801",NA,"rn:R10707",NA,574,1175,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry312","402","cpsd:BN356_4811","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4811",NA,"rn:R01626",NA,677,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry313","403","cpsd:BN356_4821","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4821",NA,"rn:R02767",NA,677,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry314","404","cpsd:BN356_0941","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_0941",NA,"rn:R10208",NA,677,1342,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry315","405","cpsd:BN356_4811","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_4811",NA,"rn:R01626",NA,957,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry316","406","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R02768",NA,957,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry318","409","cpsd:BN356_8371","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_8371",NA,"rn:R04355",NA,855,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry320","411","cpsd:BN356_3431 / cpsd:BN356_3771 / cpsd:BN356_5501 / cpsd:BN356_5511","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3431+cpsd:BN356_3771+cpsd:BN356_5501+cpsd:BN356_5511",NA,"rn:R00742",NA,677,1054,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry322","413","cpsd:BN356_3851","gene","http://www.kegg.jp/dbget-bin/www_bget?cpsd:BN356_3851",NA,"rn:R01404",NA,701,1425,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
