"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry25","49","dfe:Dfer_5690","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_5690",NA,"rn:R03370",NA,1292,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry26","50","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R07765",NA,1264,610,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry35","59","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R07762",NA,1264,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry36","60","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R07763",NA,1264,424,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry40","64","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04968",NA,1037,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry41","65","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04726",NA,895,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry42","66","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04963",NA,754,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry43","67","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04960",NA,612,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry44","68","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04957",NA,470,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry45","69","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04952",NA,328,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry52","76","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04969 rn:R04970",NA,1037,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry57","81","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04543",NA,1037,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry60","84","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04968",NA,1037,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry63","87","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04966 rn:R04967",NA,895,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry68","92","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04566",NA,895,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry71","95","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04726",NA,895,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry74","98","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04724 rn:R04725",NA,754,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry79","103","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04964",NA,754,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry82","106","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04963",NA,754,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry85","109","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04961 rn:R04962",NA,612,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry90","114","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04534",NA,612,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry93","117","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04960",NA,612,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry96","120","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04958 rn:R04959",NA,470,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry101","125","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04536",NA,470,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry104","128","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04957",NA,470,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry107","131","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04955 rn:R04956",NA,328,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry112","136","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04953",NA,328,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry115","139","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04952",NA,328,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry118","142","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R04429 rn:R04430",NA,187,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry124","148","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R04533",NA,187,405,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry129","153","dfe:Dfer_3966","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3966",NA,"rn:R01626",NA,300,227,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry135","159","dfe:Dfer_3482 / dfe:Dfer_4148 / dfe:Dfer_4149 / dfe:Dfer_5619","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3482+dfe:Dfer_4148+dfe:Dfer_4149+dfe:Dfer_5619",NA,"rn:R00742",NA,275,147,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry205","262","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R07762",NA,1264,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry207","264","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R04355",NA,187,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry208","265","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04355",NA,187,339,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry210","268","dfe:Dfer_0604 / dfe:Dfer_4151 / dfe:Dfer_5065 / dfe:Dfer_5797","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_0604+dfe:Dfer_4151+dfe:Dfer_5065+dfe:Dfer_5797",NA,"rn:R10707",NA,34,329,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry214","272","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04428",NA,187,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry216","274","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04954",NA,328,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry219","277","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04537",NA,470,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry221","279","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04535",NA,612,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry223","281","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04965",NA,754,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry226","284","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04568",NA,895,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry229","287","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R04544",NA,1037,517,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry239","300","dfe:Dfer_5690","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_5690",NA,"rn:R08161",NA,1093,695,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry240","301","dfe:Dfer_3249","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3249",NA,"rn:R01280",NA,1012,829,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry276","348","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R02767",NA,931,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry290","369","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R01403",NA,701,1406,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry299","383","dfe:Dfer_1989 / dfe:Dfer_1992 / dfe:Dfer_1997","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1989+dfe:Dfer_1992+dfe:Dfer_1997",NA,"rn:R02768",NA,651,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry300","384","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R02768",NA,701,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry303","388","dfe:Dfer_3249","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3249",NA,"rn:R00390",NA,308,1540,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry307","395","dfe:Dfer_3249","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3249",NA,"rn:R00390",NA,677,1540,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry311","401","dfe:Dfer_0604 / dfe:Dfer_4151 / dfe:Dfer_5065 / dfe:Dfer_5797","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_0604+dfe:Dfer_4151+dfe:Dfer_5065+dfe:Dfer_5797",NA,"rn:R10707",NA,574,1175,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry312","402","dfe:Dfer_3966","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3966",NA,"rn:R01626",NA,677,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry313","403","dfe:Dfer_1291 / dfe:Dfer_1528 / dfe:Dfer_1998 / dfe:Dfer_2333 / dfe:Dfer_2588 / dfe:Dfer_3075 / dfe:Dfer_4562","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_1291+dfe:Dfer_1528+dfe:Dfer_1998+dfe:Dfer_2333+dfe:Dfer_2588+dfe:Dfer_3075+dfe:Dfer_4562",NA,"rn:R02767",NA,677,1269,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry314","404","dfe:Dfer_3015","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3015",NA,"rn:R10208",NA,677,1342,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry315","405","dfe:Dfer_3966","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3966",NA,"rn:R01626",NA,957,1124,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry316","406","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R02768",NA,957,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry318","409","dfe:Dfer_3915","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3915",NA,"rn:R04355",NA,855,1193,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry320","411","dfe:Dfer_3482 / dfe:Dfer_4148 / dfe:Dfer_4149 / dfe:Dfer_5619","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3482+dfe:Dfer_4148+dfe:Dfer_4149+dfe:Dfer_5619",NA,"rn:R00742",NA,677,1054,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
"entry322","413","dfe:Dfer_3649","gene","http://www.kegg.jp/dbget-bin/www_bget?dfe:Dfer_3649",NA,"rn:R01404",NA,701,1425,"rectangle",46,17,"#000000","#BFFFBF",1,"00061"
