"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2","29","cgi:CGB_B1110W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_B1110W",NA,"rn:R01274",NA,836,539,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry4","31","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04738",NA,810,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry6","33","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R03991",NA,835,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry8","35","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04740",NA,668,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry10","37","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R03858",NA,694,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry12","39","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04170",NA,527,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry14","41","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R04742",NA,553,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry16","43","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04744",NA,385,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry18","45","cgi:CGB_C5470W / cgi:CGB_H3430C / cgi:CGB_L0200C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_C5470W+cgi:CGB_H3430C+cgi:CGB_L0200C",NA,"rn:R04743",NA,385,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry19","46","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R03778",NA,410,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry21","48","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04746",NA,243,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry23","50","cgi:CGB_C5470W / cgi:CGB_H3430C / cgi:CGB_L0200C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_C5470W+cgi:CGB_H3430C+cgi:CGB_L0200C",NA,"rn:R04745",NA,243,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry24","51","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R04747",NA,268,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry26","53","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R04749",NA,101,370,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry28","59","cgi:CGB_C5470W / cgi:CGB_H3430C / cgi:CGB_L0200C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_C5470W+cgi:CGB_H3430C+cgi:CGB_L0200C",NA,"rn:R04748",NA,101,285,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry29","60","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R01177",NA,126,204,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry63","113","cgi:CGB_H1290C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H1290C",NA,"rn:R10826",NA,551,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry64","114","cgi:CGB_E2340W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_E2340W",NA,"rn:R10828",NA,551,1001,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry65","115","cgi:CGB_E0700C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_E0700C",NA,"rn:R10827",NA,551,923,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry66","120","cgi:CGB_H0630W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_H0630W",NA,"rn:R02685",NA,189,923,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry67","121","cgi:CGB_C5470W / cgi:CGB_H3430C / cgi:CGB_L0200C","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_C5470W+cgi:CGB_H3430C+cgi:CGB_L0200C",NA,"rn:R01778",NA,189,843,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry68","122","cgi:CGB_A5350W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_A5350W",NA,"rn:R00391",NA,214,768,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
"entry78","137","cgi:CGB_B1110W","gene","http://www.kegg.jp/dbget-bin/www_bget?cgi:CGB_B1110W",NA,"rn:R01274",NA,215,1081,"rectangle",46,17,"#000000","#BFFFBF",1,"00062"
