"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","33","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R01279",NA,168,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry1","34","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R03990",NA,293,385,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry2","35","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R03857",NA,419,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry3","36","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R04754",NA,545,399,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry4","37","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R03777",NA,671,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry5","38","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R04751",NA,772,423,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry6","39","chrb:DK843_03515","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03515",NA,"rn:R01175",NA,923,398,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry8","41","chrb:DK843_03500","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03500",NA,"rn:R01975",NA,898,578,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry9","42","chrb:DK843_02605","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_02605",NA,"rn:R03026",NA,898,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry15","48","chrb:DK843_00695 / chrb:DK843_03835","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_00695+chrb:DK843_03835",NA,"rn:R01177",NA,808,648,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry16","49","chrb:DK843_03495","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03495",NA,"rn:R01177",NA,808,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry17","50","chrb:DK843_03500","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03500",NA,"rn:R04748",NA,747,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry18","51","chrb:DK843_02605","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_02605",NA,"rn:R04749",NA,747,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry23","57","chrb:DK843_03495","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03495",NA,"rn:R04747",NA,683,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry24","58","chrb:DK843_03500","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03500",NA,"rn:R04745",NA,621,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry25","59","chrb:DK843_02605","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_02605",NA,"rn:R04746",NA,621,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry29","64","chrb:DK843_03495","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03495",NA,"rn:R03778",NA,556,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry30","65","chrb:DK843_03500","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_03500",NA,"rn:R04743",NA,495,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry31","66","chrb:DK843_02605","gene","http://www.kegg.jp/dbget-bin/www_bget?chrb:DK843_02605",NA,"rn:R04744",NA,495,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
