"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry8","41","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R01975",NA,898,578,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry9","42","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R03026",NA,898,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry11","44","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R01175",NA,923,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry13","46","nta:107773754 / nta:107773756 / nta:107800530 / nta:107804544 / nta:107828098","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107773754+nta:107773756+nta:107800530+nta:107804544+nta:107828098",NA,"rn:R04756",NA,470,825,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry15","48","nta:107765596 / nta:107797603 / nta:107809709 / nta:107819057 / nta:107819092","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107765596+nta:107797603+nta:107809709+nta:107819057+nta:107819092",NA,"rn:R01177",NA,808,648,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry16","49","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R01177",NA,808,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry17","50","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04748",NA,747,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry18","51","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04749",NA,747,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry20","53","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R04751",NA,747,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry21","54","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04748",NA,797,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry23","57","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R04747",NA,683,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry24","58","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04745",NA,621,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry25","59","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04746",NA,621,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry26","60","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R03777",NA,621,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry27","61","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04745",NA,671,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry29","64","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R03778",NA,556,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry30","65","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04743",NA,495,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry31","66","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04744",NA,495,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry32","67","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R04754",NA,495,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry34","69","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04743",NA,545,581,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry38","74","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R04742",NA,429,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry39","75","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04741",NA,369,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry40","76","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04170",NA,369,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry41","77","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R03857",NA,369,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry43","79","nta:107762015 / nta:107765740 / nta:107772756 / nta:107777450 / nta:107787411 / nta:107788903 / nta:107791841 / nta:107795210 / nta:107796670 / nta:107812165 / nta:107812182 / nta:107812917 / nta:107818424 / nta:107820706 / nta:107827847 / nta:107829745 / nta:107830380","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107762015+nta:107765740+nta:107772756+nta:107777450+nta:107787411+nta:107788903+nta:107791841+nta:107795210+nta:107796670+nta:107812165+nta:107812182+nta:107812917+nta:107818424+nta:107820706+nta:107827847+nta:107829745+nta:107830380",NA,"rn:R00623",NA,455,905,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry45","83","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04741",NA,419,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry50","89","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R03858",NA,304,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry51","90","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04740",NA,243,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry52","91","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R03990",NA,243,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry53","92","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04739",NA,243,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry55","95","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04739",NA,293,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry57","98","nta:107762865 / nta:107763786 / nta:107784803 / nta:107791425 / nta:107793147 / nta:107809664 / nta:107812114","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107762865+nta:107763786+nta:107784803+nta:107791425+nta:107793147+nta:107809664+nta:107812114",NA,"rn:R01348",NA,656,925,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry59","100","nta:107769197 / nta:107770901 / nta:107807744 / nta:107824909","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107769197+nta:107770901+nta:107807744+nta:107824909",NA,"rn:R03991",NA,178,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry60","101","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107805198 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107805198+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04737",NA,118,582,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry61","102","nta:107766180 / nta:107770112 / nta:107781819 / nta:107786400 / nta:107794207 / nta:107797268 / nta:107798726 / nta:107802869 / nta:107805198 / nta:107823313 / nta:107824491 / nta:107825779 / nta:107828149 / nta:107831676","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107766180+nta:107770112+nta:107781819+nta:107786400+nta:107794207+nta:107797268+nta:107798726+nta:107802869+nta:107805198+nta:107823313+nta:107824491+nta:107825779+nta:107828149+nta:107831676",NA,"rn:R04738",NA,118,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry62","103","nta:107764289 / nta:107781883","gene","http://www.kegg.jp/dbget-bin/www_bget?nta:107764289+nta:107781883",NA,"rn:R01279",NA,118,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
