"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry9","47","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R03026",NA,898,495,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry11","49","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R01175",NA,923,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry15","53","laj:A0128_14960 / laj:A0128_16350 / laj:A0128_17225 / laj:A0128_17450 / laj:A0128_18390","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_14960+laj:A0128_16350+laj:A0128_17225+laj:A0128_17450+laj:A0128_18390",NA,"rn:R01177",NA,808,648,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry16","54","laj:A0128_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_01130",NA,"rn:R01177",NA,808,669,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry18","56","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R04749",NA,747,496,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry20","58","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R04751",NA,747,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry23","62","laj:A0128_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_01130",NA,"rn:R04747",NA,683,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry25","64","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R04746",NA,621,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry26","65","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R03777",NA,621,417,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry29","69","laj:A0128_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_01130",NA,"rn:R03778",NA,556,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry31","71","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R04744",NA,495,497,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry32","72","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R04754",NA,495,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry35","76","laj:A0128_05975 / laj:A0128_13880","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_05975+laj:A0128_13880",NA,"rn:R02281",NA,335,915,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry38","79","laj:A0128_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_01130",NA,"rn:R04742",NA,429,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry40","81","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R04170",NA,369,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry41","82","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R03857",NA,369,418,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry43","84","laj:A0128_04240","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04240",NA,"rn:R00623",NA,455,905,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry50","94","laj:A0128_01130","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_01130",NA,"rn:R03858",NA,304,659,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry51","95","laj:A0128_15415","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_15415",NA,"rn:R04740",NA,243,498,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
"entry52","96","laj:A0128_04200 / laj:A0128_08400 / laj:A0128_15220 / laj:A0128_17435","gene","http://www.kegg.jp/dbget-bin/www_bget?laj:A0128_04200+laj:A0128_08400+laj:A0128_15220+laj:A0128_17435",NA,"rn:R03990",NA,243,404,"rectangle",46,17,"#000000","#BFFFBF",1,"00071"
