"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry59","61","paer:PA1R_gp0450","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0450",NA,NA,NA,688,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry60","62","paer:PA1R_gp0449","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0449",NA,NA,NA,642,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry61","63","paer:PA1R_gp0448","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0448",NA,NA,NA,596,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry62","64","paer:PA1R_gp0447","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0447",NA,NA,NA,550,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry63","65","paer:PA1R_gp0446","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0446",NA,NA,NA,504,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry64","66","paer:PA1R_gp0445","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0445",NA,NA,NA,458,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry65","67","paer:PA1R_gp0444","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0444",NA,NA,NA,412,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry66","68","paer:PA1R_gp0443","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0443",NA,NA,NA,366,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry67","69","paer:PA1R_gp0442","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0442",NA,NA,NA,320,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry68","70","paer:PA1R_gp0441","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0441",NA,NA,NA,274,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry69","71","paer:PA1R_gp0440","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0440",NA,NA,NA,228,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry70","72","paer:PA1R_gp0440","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0440",NA,NA,NA,182,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry71","73","paer:PA1R_gp0439","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0439",NA,NA,NA,136,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry72","74","paer:PA1R_gp0438 / paer:PA1R_gp5510","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0438+paer:PA1R_gp5510",NA,NA,NA,90,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry81","83","paer:PA1R_gp3626","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp3626",NA,NA,NA,826,764,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry82","84","paer:PA1R_gp3621","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp3621",NA,NA,NA,780,764,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry83","85","paer:PA1R_gp0499 / paer:PA1R_gp2438","gene","http://www.kegg.jp/dbget-bin/www_bget?paer:PA1R_gp0499+paer:PA1R_gp2438",NA,NA,NA,173,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
