"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","1","dwi:6641384 / dwi:6642273","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6641384+dwi:6642273",NA,NA,NA,320,755,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry5","6","dwi:6643639","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6643639",NA,NA,NA,642,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry7","8","dwi:6641572","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6641572",NA,NA,NA,504,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry8","9","dwi:6642715","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6642715",NA,NA,NA,458,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry9","10","dwi:6653018","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6653018",NA,NA,NA,412,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry10","11","dwi:6641376","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6641376",NA,NA,NA,366,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry11","12","dwi:6644018","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6644018",NA,NA,NA,320,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry12","13","dwi:6639044","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639044",NA,NA,NA,274,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry13","14","dwi:6639773","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639773",NA,NA,NA,228,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry14","15","dwi:6639767","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639767",NA,NA,NA,182,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry15","16","dwi:6647928","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6647928",NA,NA,NA,136,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry16","17","dwi:111518344","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:111518344",NA,NA,NA,90,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry17","18","dwi:6652427","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6652427",NA,NA,NA,596,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry18","19","dwi:6645384","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6645384",NA,NA,NA,550,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry19","20","dwi:6650822","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6650822",NA,NA,NA,504,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry20","21","dwi:6646325","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6646325",NA,NA,NA,458,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry21","22","dwi:6640462","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6640462",NA,NA,NA,412,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry22","23","dwi:6639170 / dwi:6653137","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639170+dwi:6653137",NA,NA,NA,366,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry23","24","dwi:6640974","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6640974",NA,NA,NA,320,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry24","25","dwi:6639545","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639545",NA,NA,NA,274,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry25","26","dwi:6647690","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6647690",NA,NA,NA,228,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry27","28","dwi:6641597","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6641597",NA,NA,NA,136,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry28","29","dwi:26528843","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:26528843",NA,NA,NA,90,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry32","34","dwi:6648705","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6648705",NA,NA,NA,504,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry33","35","dwi:26529173 / dwi:6642374","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:26529173+dwi:6642374",NA,NA,NA,458,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry34","36","dwi:6651024","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6651024",NA,NA,NA,412,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry35","37","dwi:6639775 / dwi:6652988","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6639775+dwi:6652988",NA,NA,NA,366,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry36","38","dwi:6644444","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6644444",NA,NA,NA,320,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry37","39","dwi:6641617","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6641617",NA,NA,NA,274,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry38","40","dwi:6648291","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6648291",NA,NA,NA,228,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry39","41","dwi:6646052","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6646052",NA,NA,NA,182,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry40","42","dwi:6647597 / dwi:6651634","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6647597+dwi:6651634",NA,NA,NA,136,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry41","43","dwi:6648566","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6648566",NA,NA,NA,90,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry80","82","dwi:6644689","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6644689",NA,NA,NA,872,755,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry81","83","dwi:6640977","gene","http://www.kegg.jp/dbget-bin/www_bget?dwi:6640977",NA,NA,NA,826,764,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
