"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","1","dpa:109535960 / dpa:109538077 / dpa:109544174","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109535960+dpa:109538077+dpa:109544174",NA,NA,NA,320,755,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry5","6","dpa:109544726","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109544726",NA,NA,NA,642,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry7","8","dpa:109536690","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109536690",NA,NA,NA,504,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry8","9","dpa:109540550","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109540550",NA,NA,NA,458,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry9","10","dpa:109541510","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109541510",NA,NA,NA,412,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry10","11","dpa:109539760","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109539760",NA,NA,NA,366,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry11","12","dpa:109541990","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109541990",NA,NA,NA,320,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry12","13","dpa:109543458","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109543458",NA,NA,NA,274,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry14","15","dpa:109536599","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109536599",NA,NA,NA,182,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry15","16","dpa:109541886","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109541886",NA,NA,NA,136,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry16","17","dpa:109543051","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109543051",NA,NA,NA,90,614,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry17","18","dpa:109534839","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109534839",NA,NA,NA,596,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry18","19","dpa:109538295","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109538295",NA,NA,NA,550,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry19","20","dpa:109536500","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109536500",NA,NA,NA,504,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry20","21","dpa:109543044","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109543044",NA,NA,NA,458,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry21","22","dpa:109545120","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109545120",NA,NA,NA,412,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry22","23","dpa:109545664","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109545664",NA,NA,NA,366,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry23","24","dpa:109540131 / dpa:109546983","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109540131+dpa:109546983",NA,NA,NA,320,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry24","25","dpa:109539553","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109539553",NA,NA,NA,274,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry25","26","dpa:109535475","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109535475",NA,NA,NA,228,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry27","28","dpa:109542541","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109542541",NA,NA,NA,136,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry28","29","dpa:109539463","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109539463",NA,NA,NA,90,590,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry32","34","dpa:109538865","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109538865",NA,NA,NA,504,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry33","35","dpa:109543241","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109543241",NA,NA,NA,458,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry34","36","dpa:109542988","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109542988",NA,NA,NA,412,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry35","37","dpa:109544473 / dpa:109546451","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109544473+dpa:109546451",NA,NA,NA,366,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry36","38","dpa:109542514","gene","http://www.kegg.jp/dbget-bin/www_bget?dpa:109542514",NA,NA,NA,320,518,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
