"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry47","58","acom:CEW83_11200","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_11200",NA,NA,NA,458,566,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry59","70","acom:CEW83_00125","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00125",NA,NA,NA,688,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry60","71","acom:CEW83_00120","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00120",NA,NA,NA,642,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry61","72","acom:CEW83_00115","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00115",NA,NA,NA,596,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry62","73","acom:CEW83_00110","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00110",NA,NA,NA,550,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry63","74","acom:CEW83_00105","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00105",NA,NA,NA,504,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry64","75","acom:CEW83_00100","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00100",NA,NA,NA,458,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry65","76","acom:CEW83_00095","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00095",NA,NA,NA,412,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry66","77","acom:CEW83_00090","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00090",NA,NA,NA,366,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry67","78","acom:CEW83_00085","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00085",NA,NA,NA,320,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry68","79","acom:CEW83_00080","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00080",NA,NA,NA,274,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry69","80","acom:CEW83_00075","gene","http://www.kegg.jp/dbget-bin/www_bget?acom:CEW83_00075",NA,NA,NA,228,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
