"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry59","61","fsy:FsymDg_3994","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3994",NA,NA,NA,688,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry60","62","fsy:FsymDg_3995","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3995",NA,NA,NA,642,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry61","63","fsy:FsymDg_3996","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3996",NA,NA,NA,596,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry62","64","fsy:FsymDg_3997","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3997",NA,NA,NA,550,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry63","65","fsy:FsymDg_3998","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3998",NA,NA,NA,504,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry64","66","fsy:FsymDg_3999","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_3999",NA,NA,NA,458,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry65","67","fsy:FsymDg_4000","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4000",NA,NA,NA,412,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry66","68","fsy:FsymDg_4001","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4001",NA,NA,NA,366,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry67","69","fsy:FsymDg_4002","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4002",NA,NA,NA,320,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry68","70","fsy:FsymDg_4003","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4003",NA,NA,NA,274,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry69","71","fsy:FsymDg_4004","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4004",NA,NA,NA,228,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry70","72","fsy:FsymDg_4005","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4005",NA,NA,NA,182,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry71","73","fsy:FsymDg_4006","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4006",NA,NA,NA,136,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry72","74","fsy:FsymDg_4007","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_4007",NA,NA,NA,90,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry81","83","fsy:FsymDg_1709","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_1709",NA,NA,NA,826,764,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry83","85","fsy:FsymDg_0763","gene","http://www.kegg.jp/dbget-bin/www_bget?fsy:FsymDg_0763",NA,NA,NA,173,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
