"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry83","85","bcor:BCOR_0245","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0245",NA,NA,NA,173,433,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry101","103","bcor:BCOR_1271 / bcor:BCOR_1272 / bcor:BCOR_1273 / bcor:BCOR_1274 / bcor:BCOR_1275 / bcor:BCOR_1276 / bcor:BCOR_1277 / bcor:BCOR_1278","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1271+bcor:BCOR_1272+bcor:BCOR_1273+bcor:BCOR_1274+bcor:BCOR_1275+bcor:BCOR_1276+bcor:BCOR_1277+bcor:BCOR_1278",NA,NA,NA,1044,409,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry104","106","bcor:BCOR_1281","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1281",NA,NA,NA,954,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry105","107","bcor:BCOR_1340","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1340",NA,NA,NA,864,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry131","133","bcor:BCOR_0843","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0843",NA,NA,NA,182,693,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry132","134","bcor:BCOR_0844","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0844",NA,NA,NA,228,693,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry147","149","bcor:BCOR_0247","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0247",NA,NA,NA,688,813,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry148","150","bcor:BCOR_0246","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0246",NA,NA,NA,642,813,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry167","169","bcor:BCOR_1272","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1272",NA,NA,NA,954,523,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry168","170","bcor:BCOR_1274","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1274",NA,NA,NA,908,523,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry169","171","bcor:BCOR_1273","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1273",NA,NA,NA,1000,523,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry170","172","bcor:BCOR_1275","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1275",NA,NA,NA,1046,523,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry171","173","bcor:BCOR_1271","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1271",NA,NA,NA,1092,523,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry172","174","bcor:BCOR_1277","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1277",NA,NA,NA,1000,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry173","175","bcor:BCOR_1278","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1278",NA,NA,NA,908,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry174","176","bcor:BCOR_1276","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_1276",NA,NA,NA,954,540,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry215","217","bcor:BCOR_0843 / bcor:BCOR_0844","gene","http://www.kegg.jp/dbget-bin/www_bget?bcor:BCOR_0843+bcor:BCOR_0844",NA,NA,NA,434,358,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
