"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry59","70","hah:Halar_1340","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1340",NA,NA,NA,688,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry60","71","hah:Halar_1341","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1341",NA,NA,NA,642,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry61","72","hah:Halar_1342","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1342",NA,NA,NA,596,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry62","73","hah:Halar_1343","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1343",NA,NA,NA,550,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry63","74","hah:Halar_1345","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1345",NA,NA,NA,504,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry64","75","hah:Halar_1346","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1346",NA,NA,NA,458,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry65","76","hah:Halar_1347","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1347",NA,NA,NA,412,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry67","78","hah:Halar_1647","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1647",NA,NA,NA,320,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry69","80","hah:Halar_1348","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1348",NA,NA,NA,228,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry70","81","hah:Halar_1348","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1348",NA,NA,NA,182,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry71","82","hah:Halar_1349","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1349",NA,NA,NA,136,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry72","83","hah:Halar_1350","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_1350",NA,NA,NA,90,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry81","92","hah:Halar_3737","gene","http://www.kegg.jp/dbget-bin/www_bget?hah:Halar_3737",NA,NA,NA,826,764,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
