"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry59","61","eau:DI57_03790","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03790",NA,NA,NA,688,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry60","62","eau:DI57_03785","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03785",NA,NA,NA,642,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry61","63","eau:DI57_03780","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03780",NA,NA,NA,596,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry62","64","eau:DI57_03775","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03775",NA,NA,NA,550,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry63","65","eau:DI57_03770","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03770",NA,NA,NA,504,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry64","66","eau:DI57_03765","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03765",NA,NA,NA,458,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry65","67","eau:DI57_03760","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03760",NA,NA,NA,412,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry66","68","eau:DI57_03755","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03755",NA,NA,NA,366,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry67","69","eau:DI57_03750","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03750",NA,NA,NA,320,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
"entry68","70","eau:DI57_03745","gene","http://www.kegg.jp/dbget-bin/www_bget?eau:DI57_03745",NA,NA,NA,274,542,"rectangle",46,17,"#000000","#BFFFBF",1,"00190"
