"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","46","lrz:BJI69_06570","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_06570",NA,"rn:R00253",NA,102,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry20","50","lrz:BJI69_00690","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00690",NA,"rn:R01954",NA,724,111,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry22","52","lrz:BJI69_00670","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00670",NA,"rn:R01086",NA,894,109,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry23","53","lrz:BJI69_11125","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_11125",NA,"rn:R00551",NA,891,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry24","54","lrz:BJI69_00680","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00680",NA,"rn:R00259",NA,228,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry25","55","lrz:BJI69_00680","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00680",NA,"rn:R02649",NA,328,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry26","56","lrz:BJI69_00675","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00675",NA,"rn:R03443",NA,427,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry27","57","lrz:BJI69_10055","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_10055",NA,"rn:R02283",NA,526,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry29","59","lrz:BJI69_00685","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00685",NA,"rn:R00669",NA,631,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry36","66","lrz:BJI69_01325","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_01325",NA,"rn:R00243",NA,179,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry44","80","lrz:BJI69_00695","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00695",NA,"rn:R07245",NA,580,238,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry45","82","lrz:BJI69_00685","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_00685",NA,"rn:R09107",NA,631,200,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry50","88","lrz:BJI69_15730","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_15730",NA,"rn:R00355",NA,124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry51","89","lrz:BJI69_09185","gene","http://www.kegg.jp/dbget-bin/www_bget?lrz:BJI69_09185",NA,"rn:R00258",NA,124,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
