"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","46","pfn:HZ99_06435 / pfn:HZ99_06775 / pfn:HZ99_16300 / pfn:HZ99_16310 / pfn:HZ99_19815 / pfn:HZ99_25210","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_06435+pfn:HZ99_06775+pfn:HZ99_16300+pfn:HZ99_16310+pfn:HZ99_19815+pfn:HZ99_25210",NA,"rn:R00253",NA,102,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry17","47","pfn:HZ99_10475","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_10475",NA,"rn:R00150",NA,282,221,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry19","49","pfn:HZ99_10470 / pfn:HZ99_11370","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_10470+pfn:HZ99_11370",NA,"rn:R01398",NA,690,238,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry20","50","pfn:HZ99_11325","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_11325",NA,"rn:R01954",NA,724,111,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry22","52","pfn:HZ99_16695","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_16695",NA,"rn:R01086",NA,894,109,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry24","54","pfn:HZ99_10705 / pfn:HZ99_15075 / pfn:HZ99_16365","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_10705+pfn:HZ99_15075+pfn:HZ99_16365",NA,"rn:R00259",NA,228,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry25","55","pfn:HZ99_16960","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_16960",NA,"rn:R02649",NA,328,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry26","56","pfn:HZ99_14585","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_14585",NA,"rn:R03443",NA,427,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry27","57","pfn:HZ99_07935 / pfn:HZ99_15185","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_07935+pfn:HZ99_15185",NA,"rn:R02283",NA,526,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry29","59","pfn:HZ99_05095 / pfn:HZ99_16370","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_05095+pfn:HZ99_16370",NA,"rn:R00669",NA,631,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry30","60","pfn:HZ99_10705","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_10705",NA,"rn:R02282",NA,659,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry31","61","pfn:HZ99_24875","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_24875",NA,"rn:R00774",NA,938,343,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry32","62","pfn:HZ99_24870","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_24870",NA,"rn:R00005",NA,1035,343,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry33","63","pfn:HZ99_20940 / pfn:HZ99_20945 / pfn:HZ99_20960","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_20940+pfn:HZ99_20945+pfn:HZ99_20960",NA,"rn:R00131",NA,985,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry34","64","pfn:HZ99_10465","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_10465",NA,"rn:R00552",NA,804,186,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry36","66","pfn:HZ99_01095","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_01095",NA,"rn:R00243",NA,179,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry38","68","pfn:HZ99_13060","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_13060",NA,"rn:R00248",NA,205,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry45","82","pfn:HZ99_05095 / pfn:HZ99_16370","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_05095+pfn:HZ99_16370",NA,"rn:R09107",NA,631,200,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry46","83","pfn:HZ99_07380","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_07380",NA,"rn:R00256",NA,205,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry51","89","pfn:HZ99_27480","gene","http://www.kegg.jp/dbget-bin/www_bget?pfn:HZ99_27480",NA,"rn:R00258",NA,124,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
