"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry15","45","anl:GFC29_3171 / anl:GFC29_47","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3171+anl:GFC29_47",NA,"rn:R00256",NA,155,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry16","46","anl:GFC29_519 / anl:GFC29_968","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_519+anl:GFC29_968",NA,"rn:R00253",NA,102,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry19","49","anl:GFC29_3617","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3617",NA,"rn:R01398",NA,690,238,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry20","50","anl:GFC29_2041","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_2041",NA,"rn:R01954",NA,724,111,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry22","52","anl:GFC29_2040","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_2040",NA,"rn:R01086",NA,894,109,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry23","53","anl:GFC29_2953","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_2953",NA,"rn:R00551",NA,891,297,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry24","54","anl:GFC29_3612","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3612",NA,"rn:R00259",NA,228,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry25","55","anl:GFC29_3613","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3613",NA,"rn:R02649",NA,328,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry26","56","anl:GFC29_3611","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3611",NA,"rn:R03443",NA,427,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry27","57","anl:GFC29_3614","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3614",NA,"rn:R02283",NA,526,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry29","59","anl:GFC29_1045","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_1045",NA,"rn:R00669",NA,631,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry30","60","anl:GFC29_3612","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3612",NA,"rn:R02282",NA,659,309,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry36","66","anl:GFC29_1512","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_1512",NA,"rn:R00243",NA,179,305,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry45","82","anl:GFC29_1045","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_1045",NA,"rn:R09107",NA,631,200,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry47","84","anl:GFC29_3269","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_3269",NA,"rn:R11711",NA,828,207,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry50","88","anl:GFC29_1444","gene","http://www.kegg.jp/dbget-bin/www_bget?anl:GFC29_1444",NA,"rn:R00355",NA,124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
