"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry15","45","pagg:AL522_02470","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_02470",NA,"rn:R00256",NA,155,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry16","46","pagg:AL522_04255","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_04255",NA,"rn:R00253",NA,102,203,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry19","49","pagg:AL522_06690","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_06690",NA,"rn:R01398",NA,690,238,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry20","50","pagg:AL522_03810","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_03810",NA,"rn:R01954",NA,724,111,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry22","52","pagg:AL522_03805","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_03805",NA,"rn:R01086",NA,894,109,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry24","54","pagg:AL522_19615","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_19615",NA,"rn:R00259",NA,228,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry25","55","pagg:AL522_03815","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_03815",NA,"rn:R02649",NA,328,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry26","56","pagg:AL522_03820","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_03820",NA,"rn:R03443",NA,427,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry27","57","pagg:AL522_21765","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_21765",NA,"rn:R02283",NA,526,364,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry29","59","pagg:AL522_00680 / pagg:AL522_03825","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_00680+pagg:AL522_03825",NA,"rn:R00669",NA,631,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry31","61","pagg:AL522_02055 / pagg:AL522_07245","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_02055+pagg:AL522_07245",NA,"rn:R00774",NA,938,343,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry32","62","pagg:AL522_07250","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_07250",NA,"rn:R00005",NA,1035,343,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry37","67","pagg:AL522_01970","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_01970",NA,"rn:R00243 rn:R00248",NA,155,324,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry45","82","pagg:AL522_00680 / pagg:AL522_03825","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_00680+pagg:AL522_03825",NA,"rn:R09107",NA,631,200,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry50","88","pagg:AL522_00705 / pagg:AL522_11055 / pagg:AL522_19485","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_00705+pagg:AL522_11055+pagg:AL522_19485",NA,"rn:R00355",NA,124,353,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
"entry51","89","pagg:AL522_17570","gene","http://www.kegg.jp/dbget-bin/www_bget?pagg:AL522_17570",NA,"rn:R00258",NA,124,374,"rectangle",46,17,"#000000","#BFFFBF",1,"00220"
