"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","141","cuu:BKK79_13675 / cuu:BKK79_13695 / cuu:BKK79_18085","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_13675+cuu:BKK79_13695+cuu:BKK79_18085",NA,"rn:R02019",NA,490,491,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry19","161","cuu:BKK79_08685","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_08685",NA,"rn:R01049",NA,193,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry20","162","cuu:BKK79_17185","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_17185",NA,"rn:R01072",NA,297,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry21","164","cuu:BKK79_05535","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_05535",NA,"rn:R04144",NA,383,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry22","165","cuu:BKK79_14710 / cuu:BKK79_28215","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14710+cuu:BKK79_28215",NA,"rn:R04325",NA,469,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry23","166","cuu:BKK79_14280","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14280",NA,"rn:R04208",NA,650,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry24","167","cuu:BKK79_08045","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_08045",NA,"rn:R04560",NA,957,213,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry25","168","cuu:BKK79_14050","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14050",NA,"rn:R04559",NA,934,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry26","169","cuu:BKK79_07490","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_07490",NA,"rn:R04591",NA,839,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry28","171","cuu:BKK79_08045","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_08045",NA,"rn:R01127",NA,982,283,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry34","177","cuu:BKK79_18205","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18205",NA,"rn:R00124",NA,1437,451,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry35","178","cuu:BKK79_18205","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18205",NA,"rn:R01137",NA,1437,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry36","179","cuu:BKK79_13675 / cuu:BKK79_13695 / cuu:BKK79_18085","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_13675+cuu:BKK79_13695+cuu:BKK79_18085",NA,"rn:R02017",NA,1356,508,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry38","181","cuu:BKK79_07295","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_07295",NA,"rn:R00127",NA,1306,452,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry39","182","cuu:BKK79_14050","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14050",NA,"rn:R01083",NA,1140,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry40","183","cuu:BKK79_00645 / cuu:BKK79_18280","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_00645+cuu:BKK79_18280",NA,"rn:R01135",NA,1033,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry42","185","cuu:BKK79_18165 / cuu:BKK79_22080 / cuu:BKK79_23995","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18165+cuu:BKK79_22080+cuu:BKK79_23995",NA,"rn:R00183",NA,1191,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry43","186","cuu:BKK79_13780","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_13780",NA,"rn:R00185",NA,1074,533,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry44","187","cuu:BKK79_08570","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_08570",NA,"rn:R00190",NA,1272,552,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry45","189","cuu:BKK79_18165 / cuu:BKK79_22080 / cuu:BKK79_23995","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18165+cuu:BKK79_22080+cuu:BKK79_23995",NA,"rn:R02088",NA,1417,616,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry48","192","cuu:BKK79_25595","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_25595",NA,"rn:R00182",NA,1237,580,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry49","193","cuu:BKK79_14330","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14330",NA,"rn:R02297",NA,799,629,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry51","195","cuu:BKK79_18165 / cuu:BKK79_22080 / cuu:BKK79_23995","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18165+cuu:BKK79_22080+cuu:BKK79_23995",NA,"rn:R01126",NA,1010,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry54","199","cuu:BKK79_05080","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_05080",NA,"rn:R01244",NA,1077,673,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry56","201","cuu:BKK79_18205","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18205",NA,"rn:R00722",NA,805,349,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry59","204","cuu:BKK79_02815","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_02815",NA,"rn:R01130",NA,903,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry60","205","cuu:BKK79_02805 / cuu:BKK79_24410","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_02805+cuu:BKK79_24410",NA,"rn:R01230 rn:R01231",NA,733,453,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry63","208","cuu:BKK79_13640","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_13640",NA,"rn:R01132",NA,907,533,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry64","210","cuu:BKK79_14330","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14330",NA,"rn:R01561",NA,1192,606,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry66","212","cuu:BKK79_18165 / cuu:BKK79_22080 / cuu:BKK79_23995","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_18165+cuu:BKK79_22080+cuu:BKK79_23995",NA,"rn:R01227",NA,650,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry67","213","cuu:BKK79_14330","gene","http://www.kegg.jp/dbget-bin/www_bget?cuu:BKK79_14330",NA,"rn:R01863",NA,960,638,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
