"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","137","pmq:PM3016_1991 / pmq:PM3016_6243 / pmq:PM3016_6461 / pmq:PM3016_6464","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_1991+pmq:PM3016_6243+pmq:PM3016_6461+pmq:PM3016_6464",NA,"rn:R02019",NA,490,491,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry5","142","pmq:PM3016_2728 / pmq:PM3016_3463","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_2728+pmq:PM3016_3463",NA,"rn:R02423",NA,1041,830,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry19","157","pmq:PM3016_184 / pmq:PM3016_4437","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_184+pmq:PM3016_4437",NA,"rn:R01049",NA,193,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry20","158","pmq:PM3016_6882","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6882",NA,"rn:R01072",NA,297,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry21","160","pmq:PM3016_6877","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6877",NA,"rn:R04144",NA,383,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry22","161","pmq:PM3016_3215 / pmq:PM3016_6880","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_3215+pmq:PM3016_6880",NA,"rn:R04325",NA,469,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry23","162","pmq:PM3016_6881","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6881",NA,"rn:R04208",NA,650,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry24","163","pmq:PM3016_6879","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6879",NA,"rn:R04560",NA,957,213,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry25","164","pmq:PM3016_6887","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6887",NA,"rn:R04559",NA,934,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry26","165","pmq:PM3016_6886","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6886",NA,"rn:R04591",NA,839,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry28","167","pmq:PM3016_6879","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_6879",NA,"rn:R01127",NA,982,283,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry30","169","pmq:PM3016_1937","gene","http://www.kegg.jp/dbget-bin/www_bget?pmq:PM3016_1937",NA,"rn:R00089",NA,1595,462,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
