"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","137","sds:SDEG_0474 / sds:SDEG_0476 / sds:SDEG_1423 / sds:SDEG_1424","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0474+sds:SDEG_0476+sds:SDEG_1423+sds:SDEG_1424",NA,"rn:R02019",NA,490,491,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry19","157","sds:SDEG_0039 / sds:SDEG_0884","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0039+sds:SDEG_0884",NA,"rn:R01049",NA,193,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry20","158","sds:SDEG_0045","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0045",NA,"rn:R01072",NA,297,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry21","160","sds:SDEG_0051","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0051",NA,"rn:R04144",NA,383,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry22","161","sds:SDEG_0047","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0047",NA,"rn:R04325",NA,469,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry23","162","sds:SDEG_0046","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0046",NA,"rn:R04208",NA,650,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry24","163","sds:SDEG_0049","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0049",NA,"rn:R04560",NA,957,213,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry25","164","sds:SDEG_0055","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0055",NA,"rn:R04559",NA,934,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry26","165","sds:SDEG_0043","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0043",NA,"rn:R04591",NA,839,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry28","167","sds:SDEG_0049","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0049",NA,"rn:R01127",NA,982,283,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry34","173","sds:SDEG_1223","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_1223",NA,"rn:R00124",NA,1437,451,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry35","174","sds:SDEG_1223","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_1223",NA,"rn:R01137",NA,1437,530,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry36","175","sds:SDEG_0474 / sds:SDEG_0476 / sds:SDEG_1423 / sds:SDEG_1424","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0474+sds:SDEG_0476+sds:SDEG_1423+sds:SDEG_1424",NA,"rn:R02017",NA,1356,508,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry38","177","sds:SDEG_0092","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0092",NA,"rn:R00127",NA,1306,452,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry39","178","sds:SDEG_0055","gene","http://www.kegg.jp/dbget-bin/www_bget?sds:SDEG_0055",NA,"rn:R01083",NA,1140,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
