"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","137","cba:CLB_2756 / cba:CLB_2757","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2756+cba:CLB_2757",NA,"rn:R02019",NA,490,491,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry19","157","cba:CLB_3625","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_3625",NA,"rn:R01049",NA,193,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry20","158","cba:CLB_2841 / cba:CLB_2875","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2841+cba:CLB_2875",NA,"rn:R01072",NA,297,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry21","160","cba:CLB_2837","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2837",NA,"rn:R04144",NA,383,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry22","161","cba:CLB_2839","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2839",NA,"rn:R04325",NA,469,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry23","162","cba:CLB_2840","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2840",NA,"rn:R04208",NA,650,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry24","163","cba:CLB_2838","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2838",NA,"rn:R04560",NA,957,213,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry25","164","cba:CLB_2259","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2259",NA,"rn:R04559",NA,934,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry26","165","cba:CLB_2842","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2842",NA,"rn:R04591",NA,839,188,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry28","167","cba:CLB_2838","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2838",NA,"rn:R01127",NA,982,283,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry30","169","cba:CLB_0232","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_0232",NA,"rn:R00089",NA,1595,462,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry36","175","cba:CLB_2756 / cba:CLB_2757","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2756+cba:CLB_2757",NA,"rn:R02017",NA,1356,508,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry38","177","cba:CLB_3516","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_3516",NA,"rn:R00127",NA,1306,452,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry39","178","cba:CLB_2259","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_2259",NA,"rn:R01083",NA,1140,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry40","179","cba:CLB_3709","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_3709",NA,"rn:R01135",NA,1033,342,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry42","181","cba:CLB_0274","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_0274",NA,"rn:R00183",NA,1191,510,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry44","183","cba:CLB_1946 / cba:CLB_3089","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_1946+cba:CLB_3089",NA,"rn:R00190",NA,1272,552,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry45","185","cba:CLB_0274","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_0274",NA,"rn:R02088",NA,1417,616,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry46","186","cba:CLB_1030","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_1030",NA,"rn:R02556",NA,1545,687,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
"entry47","187","cba:CLB_1800","gene","http://www.kegg.jp/dbget-bin/www_bget?cba:CLB_1800",NA,"rn:R02748",NA,1356,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00230"
