"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","81","tkm:TK90_0256 / tkm:TK90_0257 / tkm:TK90_1441 / tkm:TK90_1442","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0256+tkm:TK90_0257+tkm:TK90_1441+tkm:TK90_1442",NA,"rn:R02018",NA,450,717,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry4","84","tkm:TK90_1495","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1495",NA,"rn:R00158",NA,505,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry8","88","tkm:TK90_0698 / tkm:TK90_0699","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0698+tkm:TK90_0699",NA,"rn:R00575",NA,128,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry14","94","tkm:TK90_0031 / tkm:TK90_2409","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0031+tkm:TK90_2409",NA,"rn:R01397",NA,128,192,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry15","95","tkm:TK90_1057 / tkm:TK90_2410","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1057+tkm:TK90_2410",NA,"rn:R01993",NA,179,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry16","96","tkm:TK90_0051 / tkm:TK90_2411","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0051+tkm:TK90_2411",NA,"rn:R01869",NA,290,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry18","98","tkm:TK90_0071","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0071",NA,"rn:R01870",NA,422,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry19","99","tkm:TK90_0731","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0731",NA,"rn:R00156",NA,395,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry21","101","tkm:TK90_1785","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1785",NA,"rn:R00568",NA,283,286,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry22","102","tkm:TK90_1472","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1472",NA,"rn:R00571 rn:R00573",NA,334,311,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry26","107","tkm:TK90_2408","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_2408",NA,"rn:R00966",NA,632,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry28","109","tkm:TK90_1288 / tkm:TK90_2420","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1288+tkm:TK90_2420",NA,"rn:R00963",NA,633,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry34","115","tkm:TK90_0027","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0027",NA,"rn:R00905",NA,1108,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry36","117","tkm:TK90_0731","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0731",NA,"rn:R00570",NA,394,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry40","121","tkm:TK90_1288 / tkm:TK90_2420","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1288+tkm:TK90_2420",NA,"rn:R00511",NA,633,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry42","123","tkm:TK90_0907","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0907",NA,"rn:R00974",NA,824,347,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry49","131","tkm:TK90_0256 / tkm:TK90_0257 / tkm:TK90_1441 / tkm:TK90_1442","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0256+tkm:TK90_0257+tkm:TK90_1441+tkm:TK90_1442",NA,"rn:R02024",NA,450,460,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry50","132","tkm:TK90_0731","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0731",NA,"rn:R02326",NA,395,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry51","133","tkm:TK90_1785","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1785",NA,"rn:R02325",NA,332,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry56","138","tkm:TK90_1288 / tkm:TK90_2420","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1288+tkm:TK90_2420",NA,"rn:R01664",NA,633,551,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry58","140","tkm:TK90_0731","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0731",NA,"rn:R02331",NA,391,644,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry59","142","tkm:TK90_1253","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1253",NA,"rn:R02098",NA,504,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry65","148","tkm:TK90_1904","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1904",NA,"rn:R02101",NA,538,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry66","149","tkm:TK90_0731","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_0731",NA,"rn:R02093",NA,393,781,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry68","152","tkm:TK90_1253","gene","http://www.kegg.jp/dbget-bin/www_bget?tkm:TK90_1253",NA,"rn:R02094",NA,506,772,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
