"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","81","mtr:MTR_0268s0080 / mtr:MTR_1g050472 / mtr:MTR_3g009480 / mtr:MTR_4g117370 / mtr:MTR_7g029110 / mtr:MTR_8g092510 / mtr:MTR_8g469010","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_0268s0080+mtr:MTR_1g050472+mtr:MTR_3g009480+mtr:MTR_4g117370+mtr:MTR_7g029110+mtr:MTR_8g092510+mtr:MTR_8g469010",NA,"rn:R02018",NA,450,717,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry4","84","mtr:MTR_8g093330","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_8g093330",NA,"rn:R00158",NA,505,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry8","88","mtr:MTR_2g093280 / mtr:MTR_3g095490 / mtr:MTR_4g103830","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_2g093280+mtr:MTR_3g095490+mtr:MTR_4g103830",NA,"rn:R00575",NA,128,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry14","94","mtr:MTR_4g096900 / mtr:MTR_5g093570","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_4g096900+mtr:MTR_5g093570",NA,"rn:R01397",NA,128,192,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry15","95","mtr:MTR_4g078370","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_4g078370",NA,"rn:R01993",NA,179,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry18","98","mtr:MTR_1g025060 / mtr:MTR_3g017580 / mtr:MTR_8g038390","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_1g025060+mtr:MTR_3g017580+mtr:MTR_8g038390",NA,"rn:R01870",NA,422,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry19","99","mtr:MTR_4g104030 / mtr:MTR_8g007235 / mtr:MTR_8g099450","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_4g104030+mtr:MTR_8g007235+mtr:MTR_8g099450",NA,"rn:R00156",NA,395,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry20","100","mtr:MTR_4g035850 / mtr:MTR_5g068940 / mtr:MTR_8g009520","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_4g035850+mtr:MTR_5g068940+mtr:MTR_8g009520",NA,"rn:R00158",NA,505,226,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry22","102","mtr:MTR_1g087440 / mtr:MTR_2g062770 / mtr:MTR_8g070540 / mtr:MTR_8g446910","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_1g087440+mtr:MTR_2g062770+mtr:MTR_8g070540+mtr:MTR_8g446910",NA,"rn:R00571 rn:R00573",NA,334,311,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry23","103","mtr:MTR_4g036220 / mtr:MTR_5g040710 / mtr:MTR_6g033000 / mtr:MTR_7g085090 / mtr:MTR_7g085120 / mtr:MTR_7g085150 / mtr:MTR_7g085160 / mtr:MTR_7g085180 / mtr:MTR_7g085200","gene","http://www.kegg.jp/dbget-bin/www_bget?mtr:MTR_4g036220+mtr:MTR_5g040710+mtr:MTR_6g033000+mtr:MTR_7g085090+mtr:MTR_7g085120+mtr:MTR_7g085150+mtr:MTR_7g085160+mtr:MTR_7g085180+mtr:MTR_7g085200",NA,"rn:R00159",NA,395,262,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
