"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1","81","lmom:IJ09_14135 / lmom:IJ09_14140","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_14135+lmom:IJ09_14140",NA,"rn:R02018",NA,450,717,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry4","84","lmom:IJ09_03445","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_03445",NA,"rn:R00158",NA,505,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry8","88","lmom:IJ09_00650 / lmom:IJ09_00655","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00650+lmom:IJ09_00655",NA,"rn:R00575",NA,128,264,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry14","94","lmom:IJ09_00640","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00640",NA,"rn:R01397",NA,128,192,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry15","95","lmom:IJ09_00645","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00645",NA,"rn:R01993",NA,179,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry16","96","lmom:IJ09_00660 / lmom:IJ09_00665","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00660+lmom:IJ09_00665",NA,"rn:R01869",NA,290,135,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry18","98","lmom:IJ09_00675","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00675",NA,"rn:R01870",NA,422,154,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry19","99","lmom:IJ09_00185","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00185",NA,"rn:R00156",NA,395,237,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry22","102","lmom:IJ09_12005","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_12005",NA,"rn:R00571 rn:R00573",NA,334,311,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry26","107","lmom:IJ09_00630 / lmom:IJ09_12110","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00630+lmom:IJ09_12110",NA,"rn:R00966",NA,632,281,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry27","108","lmom:IJ09_02510","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_02510",NA,"rn:R00964 rn:R00967 rn:R00968 rn:R00970 rn:R01549 rn:R01880 rn:R02097 rn:R02327 rn:R02332",NA,633,228,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry28","109","lmom:IJ09_09715","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_09715",NA,"rn:R00963",NA,633,247,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry36","117","lmom:IJ09_00185","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00185",NA,"rn:R00570",NA,394,391,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry39","120","lmom:IJ09_02510","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_02510",NA,"rn:R00513 rn:R00516 rn:R00517 rn:R00962 rn:R01548 rn:R02091 rn:R02096 rn:R02371 rn:R02372",NA,633,341,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry40","121","lmom:IJ09_09715","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_09715",NA,"rn:R00511",NA,633,383,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry41","122","lmom:IJ09_02690","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_02690",NA,"rn:R01878",NA,695,320,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry43","124","lmom:IJ09_15250","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_15250",NA,"rn:R02296",NA,738,371,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry49","131","lmom:IJ09_14135 / lmom:IJ09_14140","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_14135+lmom:IJ09_14140",NA,"rn:R02024",NA,450,460,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry50","132","lmom:IJ09_00185","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00185",NA,"rn:R02326",NA,395,515,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry56","138","lmom:IJ09_09715","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_09715",NA,"rn:R01664",NA,633,551,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry57","139","lmom:IJ09_02590","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_02590",NA,"rn:R01663",NA,588,599,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry58","140","lmom:IJ09_00185","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00185",NA,"rn:R02331",NA,391,644,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry59","142","lmom:IJ09_11250","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_11250",NA,"rn:R02098",NA,504,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry60","143","lmom:IJ09_12080","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_12080",NA,"rn:R02099",NA,633,652,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry61","144","lmom:IJ09_02690","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_02690",NA,"rn:R02485",NA,693,584,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry62","145","lmom:IJ09_15250","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_15250",NA,"rn:R02484",NA,761,594,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry63","146","lmom:IJ09_00065 / lmom:IJ09_00550","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00065+lmom:IJ09_00550",NA,"rn:R02484",NA,761,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
"entry65","148","lmom:IJ09_00460","gene","http://www.kegg.jp/dbget-bin/www_bget?lmom:IJ09_00460",NA,"rn:R02101",NA,538,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00240"
