"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","35","pcr:Pcryo_0622","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0622",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","38","pcr:Pcryo_1567","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1567",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry18","40","pcr:Pcryo_0021","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0021",NA,"rn:R00491",NA,552,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry21","48","pcr:Pcryo_0599","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0599",NA,"rn:R00357",NA,608,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","55","pcr:Pcryo_1864","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1864",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","56","pcr:Pcryo_0645","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0645",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry28","57","pcr:Pcryo_1417","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1417",NA,"rn:R00490",NA,284,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","58","pcr:Pcryo_0095","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0095",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","59","pcr:Pcryo_1146","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1146",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry32","61","pcr:Pcryo_0981","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0981",NA,"rn:R00369",NA,143,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry33","63","pcr:Pcryo_0692","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0692",NA,"rn:R00258",NA,55,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","71","pcr:Pcryo_0531","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0531",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry48","85","pcr:Pcryo_0818 / pcr:Pcryo_0821","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0818+pcr:Pcryo_0821",NA,"rn:R00713 rn:R00714",NA,285,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry52","89","pcr:Pcryo_2164 / pcr:Pcryo_2165","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_2164+pcr:Pcryo_2165",NA,"rn:R00114",NA,655,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry54","92","pcr:Pcryo_1400","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1400",NA,"rn:R00243",NA,576,653,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry56","94","pcr:Pcryo_1935","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1935",NA,"rn:R00248",NA,601,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry58","97","pcr:Pcryo_0819","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0819",NA,"rn:R01648",NA,352,708,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry61","102","pcr:Pcryo_1440","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1440",NA,"rn:R00253",NA,763,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry62","105","pcr:Pcryo_1330","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1330",NA,"rn:R00256",NA,763,758,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","110","pcr:Pcryo_0829 / pcr:Pcryo_0830","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0829+pcr:Pcryo_0830",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry71","121","pcr:Pcryo_1138","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1138",NA,"rn:R00707 rn:R00708",NA,676,793,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","123","pcr:Pcryo_2397","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_2397",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","125","pcr:Pcryo_1103","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_1103",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry91","160","pcr:Pcryo_0818 / pcr:Pcryo_0821","gene","http://www.kegg.jp/dbget-bin/www_bget?pcr:Pcryo_0818+pcr:Pcryo_0821",NA,"rn:R00714",NA,259,661,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
