"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","26","bcx:BCA_4146","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_4146",NA,"rn:R00348",NA,752,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry12","27","bcx:BCA_1814","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_1814",NA,"rn:R00483",NA,647,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry13","28","bcx:BCA_1196 / bcx:BCA_1764 / bcx:BCA_2334","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_1196+bcx:BCA_1764+bcx:BCA_2334",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","31","bcx:BCA_1555","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_1555",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry18","33","bcx:BCA_2307 / bcx:BCA_2729 / bcx:BCA_4878","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_2307+bcx:BCA_2729+bcx:BCA_4878",NA,"rn:R00491",NA,552,455,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry21","41","bcx:BCA_4542","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_4542",NA,"rn:R00357",NA,608,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry22","42","bcx:BCA_1604","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_1604",NA,"rn:R00355",NA,608,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","48","bcx:BCA_4746","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_4746",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","49","bcx:BCA_5622","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_5622",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry28","50","bcx:BCA_0641 / bcx:BCA_1807","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0641+bcx:BCA_1807",NA,"rn:R00490",NA,284,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","51","bcx:BCA_3643 / bcx:BCA_4745","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_3643+bcx:BCA_4745",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","52","bcx:BCA_0364","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0364",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry34","59","bcx:BCA_0625 / bcx:BCA_4739","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0625+bcx:BCA_4739",NA,"rn:R00396",NA,205,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","63","bcx:BCA_3990","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_3990",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry48","76","bcx:BCA_0400","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0400",NA,"rn:R00713 rn:R00714",NA,285,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry52","80","bcx:BCA_0549","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0549",NA,"rn:R00114",NA,655,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry54","83","bcx:BCA_1550","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_1550",NA,"rn:R00243",NA,576,653,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry58","88","bcx:BCA_0398","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0398",NA,"rn:R01648",NA,352,708,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry61","93","bcx:BCA_3794","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_3794",NA,"rn:R00253",NA,763,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry62","96","bcx:BCA_0367 / bcx:BCA_0519","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0367+bcx:BCA_0519",NA,"rn:R00256",NA,763,758,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","101","bcx:BCA_3987 / bcx:BCA_3988","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_3987+bcx:BCA_3988",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry69","109","bcx:BCA_4146","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_4146",NA,"rn:R00269",NA,778,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry71","112","bcx:BCA_0382","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0382",NA,"rn:R00707 rn:R00708",NA,676,793,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","114","bcx:BCA_0201","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0201",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","116","bcx:BCA_0369","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0369",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry91","134","bcx:BCA_0400","gene","http://www.kegg.jp/dbget-bin/www_bget?bcx:BCA_0400",NA,"rn:R00714",NA,259,661,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
