"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","26","pno:SNOG_11542","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_11542",NA,"rn:R00348",NA,752,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry13","28","pno:SNOG_05005 / pno:SNOG_11093","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_05005+pno:SNOG_11093",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","31","pno:SNOG_00132 / pno:SNOG_08705 / pno:SNOG_13123","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_00132+pno:SNOG_08705+pno:SNOG_13123",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry22","42","pno:SNOG_07515 / pno:SNOG_08796","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_07515+pno:SNOG_08796",NA,"rn:R00355",NA,608,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","48","pno:SNOG_13164","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_13164",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","49","pno:SNOG_15719","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_15719",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","51","pno:SNOG_15639","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_15639",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","52","pno:SNOG_06372","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_06372",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry32","54","pno:SNOG_05049","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_05049",NA,"rn:R00369",NA,143,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry33","56","pno:SNOG_12441","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_12441",NA,"rn:R00258",NA,55,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","63","pno:SNOG_08506","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_08506",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry48","76","pno:SNOG_00899","gene","http://www.kegg.jp/dbget-bin/www_bget?pno:SNOG_00899",NA,"rn:R00713 rn:R00714",NA,285,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
