"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry16","31","rxy:Rxyl_2741 / rxy:Rxyl_2849","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2741+rxy:Rxyl_2849",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry21","41","rxy:Rxyl_0107","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0107",NA,"rn:R00357",NA,608,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","48","rxy:Rxyl_2882","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2882",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","49","rxy:Rxyl_0990","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0990",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","51","rxy:Rxyl_0979","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0979",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","52","rxy:Rxyl_0992","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0992",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry32","54","rxy:Rxyl_0923","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0923",NA,"rn:R00369",NA,143,395,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry34","59","rxy:Rxyl_2908","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2908",NA,"rn:R00396",NA,205,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","63","rxy:Rxyl_1480","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_1480",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry48","76","rxy:Rxyl_1760 / rxy:Rxyl_2456 / rxy:Rxyl_2905 / rxy:Rxyl_3175","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_1760+rxy:Rxyl_2456+rxy:Rxyl_2905+rxy:Rxyl_3175",NA,"rn:R00713 rn:R00714",NA,285,642,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry52","80","rxy:Rxyl_0341 / rxy:Rxyl_0342","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0341+rxy:Rxyl_0342",NA,"rn:R00114",NA,655,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry54","83","rxy:Rxyl_2529","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2529",NA,"rn:R00243",NA,576,653,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry58","88","rxy:Rxyl_2903","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2903",NA,"rn:R01648",NA,352,708,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry61","93","rxy:Rxyl_1031 / rxy:Rxyl_1125 / rxy:Rxyl_2498 / rxy:Rxyl_3196","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_1031+rxy:Rxyl_1125+rxy:Rxyl_2498+rxy:Rxyl_3196",NA,"rn:R00253",NA,763,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry62","96","rxy:Rxyl_0995","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0995",NA,"rn:R00256",NA,763,758,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","101","rxy:Rxyl_1477 / rxy:Rxyl_1478","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_1477+rxy:Rxyl_1478",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry71","112","rxy:Rxyl_2922","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_2922",NA,"rn:R00707 rn:R00708",NA,676,793,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","114","rxy:Rxyl_0137 / rxy:Rxyl_0799","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0137+rxy:Rxyl_0799",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","116","rxy:Rxyl_0997","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_0997",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry91","134","rxy:Rxyl_1760 / rxy:Rxyl_2456 / rxy:Rxyl_2905 / rxy:Rxyl_3175","gene","http://www.kegg.jp/dbget-bin/www_bget?rxy:Rxyl_1760+rxy:Rxyl_2456+rxy:Rxyl_2905+rxy:Rxyl_3175",NA,"rn:R00714",NA,259,661,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
