"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","33","pcre:NCTC12858_01055","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01055",NA,"rn:R00348",NA,752,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry13","35","pcre:NCTC12858_01842","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01842",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","38","pcre:NCTC12858_00593","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_00593",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry21","48","pcre:NCTC12858_01865","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01865",NA,"rn:R00357",NA,608,507,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","56","pcre:NCTC12858_01309","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01309",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry28","57","pcre:NCTC12858_00901","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_00901",NA,"rn:R00490",NA,284,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","59","pcre:NCTC12858_00898","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_00898",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","71","pcre:NCTC12858_00975 / pcre:NCTC12858_00976","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_00975+pcre:NCTC12858_00976",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry52","89","pcre:NCTC12858_01428","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01428",NA,"rn:R00114",NA,655,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry56","94","pcre:NCTC12858_01014","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01014",NA,"rn:R00248",NA,601,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","110","pcre:NCTC12858_01548 / pcre:NCTC12858_01550","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01548+pcre:NCTC12858_01550",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry69","118","pcre:NCTC12858_01055","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01055",NA,"rn:R00269",NA,778,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","123","pcre:NCTC12858_01267","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01267",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","125","pcre:NCTC12858_01547","gene","http://www.kegg.jp/dbget-bin/www_bget?pcre:NCTC12858_01547",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
