"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry11","26","pdt:Prede_0842","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0842",NA,"rn:R00348",NA,752,440,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry12","27","pdt:Prede_0487","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0487",NA,"rn:R00483",NA,647,308,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","31","pdt:Prede_2324","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_2324",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry22","42","pdt:Prede_0298 / pdt:Prede_0536","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0298+pdt:Prede_0536",NA,"rn:R00355",NA,608,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry26","48","pdt:Prede_0159","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0159",NA,"rn:R01954",NA,415,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","49","pdt:Prede_0561","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0561",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry29","51","pdt:Prede_1212","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_1212",NA,"rn:R01086",NA,416,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","52","pdt:Prede_1066","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_1066",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry34","59","pdt:Prede_1746","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_1746",NA,"rn:R00396",NA,205,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","63","pdt:Prede_0757 / pdt:Prede_0758","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0757+pdt:Prede_0758",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry52","80","pdt:Prede_0787 / pdt:Prede_1640","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0787+pdt:Prede_1640",NA,"rn:R00114",NA,655,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry56","85","pdt:Prede_0268 / pdt:Prede_0792","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0268+pdt:Prede_0792",NA,"rn:R00248",NA,601,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry61","93","pdt:Prede_1162 / pdt:Prede_1543","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_1162+pdt:Prede_1543",NA,"rn:R00253",NA,763,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","101","pdt:Prede_2328 / pdt:Prede_2329","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_2328+pdt:Prede_2329",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry69","109","pdt:Prede_0842","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_0842",NA,"rn:R00269",NA,778,577,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","114","pdt:Prede_1752","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_1752",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","116","pdt:Prede_2327","gene","http://www.kegg.jp/dbget-bin/www_bget?pdt:Prede_2327",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
