"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry13","35","fpq:IB65_02550 / fpq:IB65_10035","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_02550+fpq:IB65_10035",NA,"rn:R00578",NA,647,273,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry16","38","fpq:IB65_05155 / fpq:IB65_11560","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_05155+fpq:IB65_11560",NA,"rn:R00485",NA,647,363,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry22","49","fpq:IB65_01935 / fpq:IB65_08430","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_01935+fpq:IB65_08430",NA,"rn:R00355",NA,608,528,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry27","56","fpq:IB65_09515","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_09515",NA,"rn:R01135",NA,358,348,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry30","59","fpq:IB65_08980","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_08980",NA,"rn:R01083",NA,359,442,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry34","66","fpq:IB65_04965","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_04965",NA,"rn:R00396",NA,205,426,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry37","71","fpq:IB65_08935","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_08935",NA,"rn:R01397",NA,581,149,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry56","94","fpq:IB65_01210","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_01210",NA,"rn:R00248",NA,601,672,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry61","102","fpq:IB65_02650","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_02650",NA,"rn:R00253",NA,763,716,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry65","110","fpq:IB65_06190 / fpq:IB65_09990","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_06190+fpq:IB65_09990",NA,"rn:R00575",NA,848,794,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry71","121","fpq:IB65_01950","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_01950",NA,"rn:R00707 rn:R00708",NA,676,793,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry72","123","fpq:IB65_00495","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_00495",NA,"rn:R00768",NA,897,671,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
"entry73","125","fpq:IB65_00875","gene","http://www.kegg.jp/dbget-bin/www_bget?fpq:IB65_00875",NA,"rn:R01072",NA,896,770,"rectangle",46,17,"#000000","#BFFFBF",1,"00250"
